,item_id,item_id
386696667187725656,1.0,
387062743617203511,7.0,
389313298289710899,32.0,1.0
392191086652450414,1.0,
392311376464777498,2.0,
393756210862858892,34.0,
394705496166126611,1.0,
395353716619684134,14.0,1.0
397255040821051652,4.0,
397596509316887130,10.0,8.0
397761261972363618,19.0,
397790527962756171,3.0,
397908558658764117,1.0,1.0
398495333752972079,7.0,
398832628962274738,2.0,
398909176379791527,129.0,5.0
400089136853652647,6.0,
402064123341049041,95.0,2.0
402645495573793193,1.0,
402651760495511052,3.0,
402661993088065731,14.0,1.0
403764568523288189,1.0,
405287543392954708,36.0,1.0
406179343327352443,2.0,
407086215058770371,180.0,3.0
407920943208241159,1.0,
408093301569136713,5.0,
409485775855434916,2.0,
409925024844330402,2.0,
410606501056122863,1.0,
411784656452405049,8.0,1.0
412185939093118367,2.0,
413290882971026598,4.0,
413479194317074012,18.0,1.0
413856223793793472,2.0,
415127465521990224,1.0,
415249968660918408,54.0,3.0
415990714767276263,1.0,
418454491686410828,1.0,
419728400096735007,458.0,13.0
419830619067200734,94.0,1.0
420993266976369621,3.0,
421273115521874153,166.0,6.0
423179555997664636,1.0,
423359259391708242,15.0,
423735209473332148,1.0,
424034195509289145,5.0,
426513857620884421,1.0,
430007237364969101,72.0,
431477356193173914,7.0,
431692891714754603,72.0,3.0
431802499053993085,3.0,
433874141566548713,7.0,
434549311549317391,45.0,1.0
435028923222344338,4.0,
435750132553000064,3.0,1.0
436354076813833667,1.0,
437433393787399007,3.0,
437544077243371022,1.0,
437731625512249487,2.0,
438154811302506015,6.0,1.0
438848622993419424,20.0,2.0
439011843396810461,20.0,
439907557768901774,117.0,9.0
444523754694307544,9.0,
444930704669705106,46.0,4.0
445328798119765287,1.0,
447591643387520738,40.0,
447598845592840509,1.0,1.0
448095944067672947,35.0,3.0
448586967616887570,27.0,1.0
449943058032983308,6.0,
450374804952894485,4.0,
451594864926502287,5.0,
452806982292021518,144.0,9.0
452846068103555719,1.0,
453201844191341159,983.0,51.0
454015168197940412,4.0,
454089350055892816,76.0,
454620544496595182,9.0,
455065803613816830,1.0,
457000316215075478,14.0,2.0
457827858726056834,3.0,
458295499979777235,4.0,
459416624049328294,11.0,5.0
461261535086324130,6.0,
462379908775873947,70.0,
462504937863797502,1.0,
463546672251559826,129.0,7.0
464014902590330154,1.0,
465597684802234691,307.0,9.0
467607301740451488,8.0,
467691276773676121,1.0,
468701296888375263,1.0,
469613992186536029,2.0,1.0
469722614740389897,55.0,1.0
470183889466018712,236.0,12.0
470577601050380782,7.0,
472995455484629540,1.0,
473267539906028591,17.0,
473462023213910890,1.0,
475610320135622400,1.0,
476059244132166497,12.0,1.0
477805401058673979,6.0,1.0
477834429810036564,20.0,
480715739483604789,32.0,2.0
482057822097185283,392.0,8.0
485804395623143343,2.0,
486323492750585871,7.0,
487358917856820313,,1.0
488021854874945200,20.0,
488062363402556630,82.0,4.0
489659286147967927,4.0,
490407537758560160,2.0,
493301920002311424,72.0,2.0
493364648195701964,15.0,1.0
493393044494318899,5.0,
493576211118522692,30.0,
494639727596429286,39.0,
494841505294902503,1.0,
495740687885105626,2.0,
495865924866471669,4.0,
498426646950623578,54.0,2.0
500204198535720860,80.0,3.0
500386958634973437,1.0,
500390873360700738,25.0,1.0
501821696207048555,12.0,2.0
502773387285692217,10.0,
503001125362974024,2.0,
504384505343568949,2.0,
505319747491439859,1.0,
505441367991103037,55.0,6.0
505565581983940497,7.0,1.0
505889984876284748,30.0,2.0
506209398468828320,,1.0
506743349855790950,2.0,
507715971228583953,1.0,
508972928307878898,1.0,
509102670855348684,1.0,
509168903226014019,14.0,
509936336103770855,1396.0,51.0
510523124389460958,27.0,
511278588051252049,1.0,
513582982589027075,2.0,
513866397289153328,5.0,
515943196634609705,10.0,2.0
517194386039286003,240.0,10.0
517509943795383852,1.0,
518802446202791794,36.0,
519061739881538238,1.0,1.0
520332000492035401,2.0,
520929210036200625,1.0,
520982649698889950,352.0,12.0
521169433218119288,117.0,6.0
521553643667092273,25.0,
521747653392452656,45.0,3.0
523313366830016181,14.0,
523378537171158563,2.0,
526461535555704870,3.0,
527600004171224509,64.0,
529757115213645583,3.0,
530327661454625524,76.0,1.0
531534713692395775,6.0,
533025845505912219,2.0,
534920639711707822,1608.0,48.0
535143434686711998,7.0,
536514893698919445,2.0,1.0
536941372344948012,44.0,
537845460956564276,2.0,
537986641995878697,9.0,
538594468978238824,35.0,
541954241284451737,60.0,6.0
542231112064866572,17.0,1.0
542776177498764017,7.0,
543337559477435679,21.0,1.0
544035042396782268,4.0,
545116985108172058,22.0,2.0
545595565577369523,2.0,
546115885124457613,1.0,
546967714665796844,12.0,
547643787903895875,9.0,
548447051877384098,4.0,
550453758720588753,30.0,1.0
553222578092162360,3.0,
553920459178400147,4.0,
554454143278536745,4.0,
555784560355568107,2.0,
556453937340920809,2.0,
557883074900282934,662.0,33.0
558037103101503254,6.0,
558259285621156501,16.0,
558339471889359558,6.0,
559481376768052569,1.0,
561517877698232327,60.0,2.0
561854190745778312,1.0,
562195406019831921,9.0,1.0
563261856870307892,4.0,
563610041847914719,2.0,
564456853195473252,3.0,
564692604739401821,91.0,5.0
565094337672267296,11.0,
565429061957110595,15.0,
565770045306970647,1.0,
566004367097490288,1.0,1.0
566250104724077195,5.0,
566440093293956423,24.0,1.0
567498999365091751,849.0,28.0
568321771511674935,9.0,1.0
569910348173713378,30.0,
571264908352918989,1.0,
572321429514751194,2.0,
572417686019488085,322.0,16.0
572491020602743643,9.0,
572902346533677240,1.0,
574855532648346663,3.0,
575143174464602726,141.0,11.0
578754746746118007,68.0,4.0
581828536609562452,10.0,
584264461739662376,3.0,
585674067626095100,12.0,1.0
585997850230875265,3.0,1.0
589245199418396074,1.0,
592719868828301187,1.0,
592828842027276921,87.0,6.0
595231012286833121,5.0,
596434112614500671,15.0,
597493732133088019,11.0,
598128264397502731,1.0,
598343347151699249,86.0,5.0
599063605930079169,8.0,
599096478477401952,12.0,
599221885583086424,15.0,1.0
599524001593072620,30.0,
599701108566323554,10.0,1.0
603537600485093951,80.0,
604516852648246764,3.0,
605054838335173860,1.0,
607190726294647968,15.0,
608541768168808568,1.0,
609948967409603501,2.0,
610019790929307397,2.0,1.0
611084819645817990,2.0,
611478398704858286,6.0,1.0
612527219205244946,5.0,
614550188782576802,5.0,
614688337428890506,8.0,
615927829181145447,13.0,
616371749398052431,,1.0
616452603264427040,598.0,19.0
617844513486019838,,1.0
618349686049360662,3.0,
618349987399637652,26.0,4.0
618875648046826277,2.0,
622426535455033398,1.0,
622851448061860378,8.0,
623225503334208494,17.0,
623707162946144099,9.0,
623897780579354599,12.0,
624366017392747676,1.0,
625755676389863357,8.0,
628251354247895256,2.0,
630549141686655901,1.0,
632254074817002917,42.0,2.0
632528179664569214,1.0,
632699511204455100,5.0,
634177609638771986,5.0,
636551761610497779,1.0,
636768786110974209,73.0,3.0
637134613145860141,123.0,3.0
637332305010221088,44.0,
637488537457552444,3.0,
637632456320147451,35.0,
638087881316034264,37.0,1.0
638449594579137614,224.0,15.0
638543050242745451,6.0,
641820381193013116,2.0,
642074399208226630,8.0,
642977886205323396,4.0,
643031370696823003,47.0,3.0
643787579881389246,5.0,
644037464222563045,1.0,
645284524577639174,1.0,
646212985495090938,9.0,
646672919799110277,2.0,
650580477948393766,195.0,5.0
650782798335375024,15.0,
651957167293789747,2.0,
653365410691115689,16.0,1.0
653939183847637819,23.0,
655214734802464498,4.0,
655937138411674911,2.0,
656627215456933481,8.0,
657667959733677552,1.0,
658943026225315418,11.0,
659760368855833953,9.0,
661219585644688207,2.0,
662037063166935283,5.0,
662345503205764226,3.0,
662422672176863407,3.0,
663283488836188948,2.0,
663632107008586225,31.0,1.0
665163911616269300,3.0,
665259028224229466,938.0,42.0
665696658731334151,3.0,
665731277894594164,1.0,1.0
666261329157361133,3.0,
666566725955995799,14.0,1.0
666665683873831296,10.0,1.0
667645353278574754,3.0,
668019005396058459,23.0,
668439937110554324,,1.0
668891471751249542,1.0,
671233354794627735,7.0,
671302156973073367,1591.0,71.0
673968302876761681,6.0,
674639120418510656,71.0,6.0
674670746537328599,149.0,4.0
675581966185046300,1.0,
675857500552328064,46.0,
676006683565572507,1.0,1.0
676030591757224429,5.0,
676057001696787576,1.0,
677951814892042517,716.0,15.0
678089546182981334,52.0,1.0
678492281745685059,1.0,
678504671026680165,1.0,
679373785156306847,1.0,
680022765615056053,1.0,
680583282752948062,18.0,
682269674034346828,18.0,1.0
682469768278671354,14.0,2.0
682743612711684636,25.0,3.0
683301882432690357,3.0,
683622601162486719,60.0,1.0
684302719963333546,33.0,
687888072787689967,1.0,
690844198458824447,7.0,
691060886125060606,47.0,
691713721623102161,3.0,
693189118518324022,22.0,
693565086975444160,39.0,1.0
694750600546900461,1.0,
695413472125268082,8.0,1.0
696234301202309885,116.0,9.0
697157822997663403,4.0,
697210300564038674,211.0,2.0
697275359722669110,8.0,
700939762697581035,26.0,
701113784647004176,17.0,2.0
702344947235318715,13.0,
703224009347944761,15.0,1.0
705248948724715789,160.0,6.0
706793492209008174,7.0,1.0
707773694947841172,4.0,
710934925300198080,24.0,1.0
711098453764201598,30.0,
712749006306264282,13.0,1.0
713133317394407829,3.0,
714336157978195952,2.0,1.0
716087243551843453,7.0,
717026140352927289,88.0,5.0
718777009076640741,18.0,
719188139612883648,243.0,14.0
719553937518771022,1.0,
723409810728957052,19.0,
723537292372946071,11.0,
723716479085685769,1.0,
724886384190789943,3.0,1.0
725438840808689930,1.0,
727166410552938978,58.0,1.0
727376071818986254,60.0,3.0
728699733903857585,380.0,26.0
729092485088834845,13.0,1.0
733078522753807762,3.0,1.0
733756588136250117,7.0,
735113253824776415,7.0,
736084336018323930,1.0,
737889984516769612,2.0,
738583066958432819,23.0,1.0
738583665778480268,15.0,1.0
739506185801954299,174.0,8.0
739551565795314987,10.0,2.0
741051478213652797,20.0,
743753761366554787,911.0,37.0
744332881000261945,109.0,1.0
747699991966586594,94.0,
750153121031982601,1.0,
751417792260109951,3.0,2.0
751443051994527892,1596.0,77.0
751461940022301034,29.0,1.0
752372694574164898,44.0,1.0
754831522169451822,2.0,
755248228496809964,5.0,
757544872362550251,30.0,
758066954674958268,9.0,
759000180617006568,10.0,
759311088506910017,47.0,
762296733045866404,22.0,1.0
762332043791827493,3.0,
763162365431025030,33.0,3.0
763744331466699022,5.0,
765544475200074967,3.0,
768154851302084070,31.0,
769241892385424049,8.0,2.0
770111700371418220,9.0,
772021055303626478,4.0,
772676291880689391,5.0,
773011303971594987,2.0,
774084702001931704,1.0,
774777098345441830,1.0,
774803939488478111,5.0,
775419491297741349,1.0,
778586168876595282,33.0,4.0
779241063014544939,3.0,
782745289742425267,3.0,
783621491969818072,14.0,1.0
784321194695939446,19.0,2.0
784516645563568553,484.0,18.0
785737780641910294,1.0,
787124055544805411,20.0,5.0
787580846383512314,4.0,1.0
787930351168264942,4.0,
789163812018651389,2.0,
790262475823548197,2.0,
790279972231462255,1.0,
793875352310066099,93.0,6.0
794237642289889417,12.0,
795876882973549076,2.0,
796373706615009218,7.0,
797418128238301317,1.0,
797861482274347190,1.0,
798214525330794296,53.0,1.0
798485825035571899,2.0,
798515716759985082,18.0,2.0
799021930072134566,2.0,
799957482715800956,67.0,5.0
801362666556162407,1.0,
801846699491234585,1.0,
801943223866146692,2.0,
801969644521312593,245.0,7.0
802679489538994691,1.0,
805318189933692553,5.0,
805845466534546966,121.0,3.0
807115484403922896,3.0,
808552416041881338,9.0,
809171659742853345,1.0,
809556872832860179,7.0,
810421250384435716,10.0,1.0
810568197467356482,1.0,
810974484912083937,3.0,
811165199595063883,24.0,1.0
811321735186791982,6.0,
812178445974212424,31.0,3.0
815929245686031577,37.0,1.0
816865207936202159,144.0,15.0
818628373147775897,1.0,
819152685619084661,3.0,
820602440458064001,2.0,
822071545619829857,16.0,
822224998030159840,2.0,
823401505312413533,374.0,11.0
824076056505035021,9.0,
829698644615642515,8.0,
829827261489572903,8.0,2.0
831088356205068095,1.0,
832163888049542700,3.0,
833224529559486784,17.0,
833717002519263021,1.0,
834138646798469369,340.0,14.0
834635153828390803,,1.0
835044392892364265,1.0,
835213233469918016,2.0,
836427638358686854,12.0,
837356011160223172,7.0,
837369045462967125,1.0,1.0
839387476193263572,20.0,1.0
839775438854665404,4.0,
839992071178530415,11.0,
840188878454269501,1.0,
840608536519637973,110.0,5.0
841783790074956605,25.0,
844384142909881247,102.0,12.0
844957317919556783,82.0,2.0
846550974468574076,24.0,
847104444495265222,3.0,
850807972615532300,5.0,
851341301272380453,5.0,
851790064620162802,3.0,1.0
852030376636541657,1.0,
852730497948467752,4.0,
852992461047295138,4.0,
859514258333690756,58.0,1.0
860192020432573941,1.0,
860552968134679914,59.0,3.0
860955592877942289,1.0,
861476533148980498,1.0,
862534701631951392,4.0,
863401996499938783,2.0,
864948671990872532,15.0,
865857474874799433,1.0,
866393463685503288,5.0,
866498194223279464,18.0,
866811118734448907,15.0,2.0
867304482504372644,54.0,4.0
867989275132178158,15.0,
869194701373817384,,1.0
869438279881578139,283.0,3.0
869459384213024991,1.0,
870585009167581067,5.0,
871804750514434084,1.0,
872951140050016617,4.0,
873329379108029023,5.0,
873428461526740960,4.0,
873796446994410585,636.0,37.0
874748423070798511,2.0,
875803320700057363,20.0,1.0
876033665253669720,3.0,
877422899605050021,9.0,1.0
877944187105096020,1.0,
878623228741120191,95.0,4.0
883087739611403285,2.0,
886900706108654459,3.0,
888201691535551853,12.0,
890226842363770667,3.0,
890557255791663945,1.0,
891052249527320749,1.0,
891744850178310836,6.0,
891953951951658667,25.0,
892990417005468924,2.0,
893368783252052221,2.0,
893836033642383392,16.0,1.0
894181138334403304,8.0,
895451215064251653,10.0,1.0
895878257082580247,37.0,4.0
895879947455701404,13.0,3.0
899186982487455629,18.0,
899950396621365748,2.0,
900074952880978996,27.0,
900688434906560644,2.0,
901046942722251597,8.0,
901262096840034227,1.0,
901410717426529991,4.0,
902199655854800070,5.0,
902644328114542489,15.0,
902792584643376271,55.0,2.0
903356590236799101,7.0,
906169820168163595,190.0,4.0
907122225728831551,32.0,
907723246741842388,4.0,
909784904511454666,1.0,
910666570155533727,5.0,
911814506387166234,107.0,
912016774658942499,117.0,2.0
913589567426703034,57.0,1.0
913612958433505538,94.0,3.0
914111419274964265,150.0,
914192429371563287,4.0,
915321765067777955,3.0,
915541848761100026,6.0,4.0
916823766852037074,2.0,
918082094172430391,6.0,
918090649116592899,43.0,3.0
918942026738131496,6.0,
919980016657888153,823.0,48.0
920180335829905590,3.0,
920707496846659850,2.0,
921478564161921092,13.0,
921897232319885033,7.0,
923409374324821991,14.0,1.0
923501048256817087,280.0,14.0
925141411370530592,3.0,
926512332562615951,18.0,
926702199390108159,1.0,
928551974039319069,4.0,1.0
929282604913486714,225.0,3.0
929436736584509751,2.0,
931509688551612144,1.0,
931597682048380029,2.0,
932459418921071956,426.0,11.0
932464595859540276,30.0,1.0
933466158810906516,1.0,
935411699664398354,3.0,
936310708441412891,2.0,1.0
936356208030672820,28.0,2.0
936828391688110033,45.0,1.0
936858357344014827,19.0,3.0
938397852194765681,20.0,
939071652047954659,37.0,
940306454509910799,,1.0
941921137220127790,298.0,14.0
942018495269120499,174.0,11.0
942837727897478185,2.0,
943578483027924625,2.0,
944347784615841676,1.0,
944411732345167349,1.0,
945108349592151499,72.0,1.0
945430149892148721,29.0,
945557791877584122,2.0,
945579473006078971,3.0,2.0
945797013376122277,295.0,18.0
946066951397727068,109.0,3.0
946592094627541544,3.0,1.0
946620771996932334,358.0,10.0
947086410026771436,2.0,1.0
947354044013171299,163.0,5.0
947391631068576328,30.0,
947544573192431850,2.0,
948403870652707593,10.0,
949499659888386228,36.0,3.0
951078856822710960,23.0,
953019345573270001,,1.0
