,shop_score_service,shop_score_service
0.921195219123506,13.0,
0.9214545454545456,1.0,
0.9218045112781956,1.0,
0.9219834710743802,9.0,
0.9222222222222224,7.0,
0.9225806451612903,9.0,
0.9230379746835444,1.0,
0.9233802816901407,1.0,
0.923702664796634,1.0,
0.9237795275590552,7.0,
0.9239492242595204,1.0,
0.9240025767661586,9.0,
0.9240336134453782,3.0,
0.92414273281114,,6.0
0.9242105263157894,1.0,
0.924281690140845,1.0,
0.9244284199363731,6.0,
0.9244444444444444,4.0,
0.9246454924606996,,2.0
0.9248459442464892,19.0,
0.9249261083743844,12.0,
0.9249432534678436,1.0,
0.9250089445438284,2.0,
0.9251948051948052,5.0,
0.9252397367596366,2.0,
0.9252554744525548,11.0,
0.9252668743509866,14.0,
0.9253333333333332,1.0,
0.9255006031363088,13.0,
0.9255546687948925,10.0,
0.9256050955414012,,2.0
0.9256114214773434,1.0,
0.9256949152542372,4.0,
0.9257142857142856,3.0,
0.925735849056604,8.0,
0.9258237547892719,5.0,
0.9258536585365852,6.0,
0.92590051457976,1.0,
0.925962325962326,20.0,
0.9261059190031152,10.0,
0.926153846153846,3.0,
0.9261639344262296,14.0,
0.926197628458498,9.0,
0.9263848855516532,34.0,
0.9264,7.0,
0.9264025869037996,17.0,
0.9264166970027908,32.0,
0.9265258799171844,9.0,
0.926530612244898,5.0,
0.92654492330168,47.0,
0.9266,23.0,
0.9266184738955824,12.0,
0.9266722830665544,8.0,
0.9267796610169492,,7.0
0.9268786808009424,7.0,
0.9269214017026332,24.0,
0.9269565217391303,3.0,
0.9269876926753496,15.0,
0.926990291262136,2.0,2.0
0.9270072992700732,8.0,
0.9270707070707072,4.0,
0.9270873903113356,30.0,
0.9271025331724968,9.0,
0.9271464255977162,24.0,
0.9273072861668424,5.0,
0.927380073800738,7.0,
0.9274156343442974,,4.0
0.9277596204533474,141.0,
0.928,3.0,
0.9280575539568344,,3.0
0.9284552845528456,22.0,
0.9288212927756654,1.0,
0.9292750588851086,14.0,
0.9292791271593714,5.0,
0.929311950336265,,4.0
0.9293847758081336,7.0,
0.9294474993453784,11.0,
0.9294727201360722,14.0,
0.9295430142726202,17.0,
0.9297213622291024,10.0,
0.9298549967341608,10.0,
0.9298876404494384,10.0,
0.9299766173031956,5.0,
0.9299911426040744,13.0,
0.93,4.0,
0.930059880239521,,3.0
0.930157268891446,2.0,
0.93025641025641,2.0,
0.9303834808259588,1.0,
0.9304347826086956,8.0,
0.9305056603773584,11.0,
0.9305660377358492,2.0,
0.9306466416353776,46.0,
0.9306666666666668,14.0,
0.9310097232610322,4.0,
0.9310714285714284,,2.0
0.9314285714285716,1.0,1.0
0.9314779602420052,7.0,
0.9315508021390376,13.0,
0.9318875502008032,1.0,
0.9318891687657432,2.0,
0.9320000000000002,4.0,
0.9320999561595792,3.0,
0.9321008403361344,3.0,
0.9321904761904762,16.0,
0.9323383084577116,1.0,
0.9323439340400469,5.0,
0.932398350029464,2.0,
0.9324444444444444,2.0,
0.9325221500295332,3.0,
0.9325301204819278,3.0,
0.9325490196078432,2.0,
0.9325526932084308,3.0,
0.9325666864256076,4.0,
0.9326718469814704,2.0,
0.932824427480916,1.0,
0.9328395061728396,4.0,
0.9328429655575016,3.0,
0.9328780487804876,2.0,
0.9329056603773584,2.0,
0.9329209621993126,,2.0
0.932934131736527,11.0,
0.9329523809523811,4.0,
0.9330092204526406,6.0,
0.9330232558139536,2.0,
0.9330596285434996,1.0,
0.9331078717201168,,1.0
0.9331695331695332,1.0,
0.9331726907630522,10.0,
0.9333333333333332,1.0,
0.9333656174334142,5.0,
0.9333936651583711,4.0,
0.9334736842105265,1.0,
0.9335384615384614,1.0,
0.9336121361213612,2.0,
0.9336867469879516,,1.0
0.9337575236457438,1.0,
0.9338311688311688,5.0,
0.9338555922605004,,5.0
0.9339122271767192,35.0,
0.933913043478261,2.0,
0.9339605462822458,1.0,
0.9340206185567009,8.0,
0.9340254652301664,15.0,
0.9341176470588236,3.0,3.0
0.9341412452987884,1.0,
0.9341703318672532,2.0,
0.9342103190232376,2.0,
0.9342626107046592,,2.0
0.9343426294820718,17.0,
0.9343589743589744,1.0,
0.934377880184332,2.0,
0.9343931505264376,27.0,
0.93449088960343,15.0,
0.9345454545454546,,2.0
0.9346724890829694,32.0,
0.9347169381478528,29.0,
0.9348593207039568,49.0,
0.9349019607843136,1.0,
0.9349305633961836,29.0,
0.935042735042735,7.0,
0.9350559511698882,19.0,
0.9351623036649216,18.0,
0.9351633986928104,4.0,
0.9352808988764044,2.0,
0.9353552492046658,21.0,
0.9355051546391752,12.0,
0.9355606407322656,20.0,
0.935629721192144,26.0,
0.9356830031282586,2.0,
0.9357264957264956,15.0,
0.9358471760797342,23.0,
0.9358628081457664,,8.0
0.9358746736292428,16.0,
0.935883322231182,65.0,
0.9358849042631968,62.0,
0.9358987272851018,39.0,
0.9359051085051896,44.0,
0.9359288888888891,3.0,
0.935956482320943,1.0,
0.9359821459706386,44.0,
0.935986384909942,,6.0
0.936,2.0,5.0
0.936137339055794,12.0,
0.9362145435791644,1.0,
0.9362406015037594,3.0,
0.9362448979591838,1.0,
0.9362962962962964,1.0,
0.9363265306122448,1.0,
0.9364383561643836,6.0,
0.9364705882352942,1.0,
0.9364885496183206,5.0,
0.9365577342047929,2.0,
0.9366058906030856,3.0,
0.9366442953020137,6.0,
0.9367032967032968,12.0,
0.9368025078369906,11.0,
0.9368067226890756,1.0,
0.9368696527428284,2.0,
0.9368807339449544,4.0,
0.9368888888888888,1.0,
0.9369450101832996,6.0,
0.9369832402234636,3.0,
0.9370027247956404,1.0,
0.9370666666666668,,2.0
0.9370824524312896,1.0,
0.9371347517730496,2.0,
0.9371590909090909,,1.0
0.9372357723577236,15.0,
0.9373440814594824,8.0,
0.937391304347826,4.0,
0.9374257425742574,4.0,
0.9375824175824174,1.0,
0.9376520509193776,4.0,
0.9377658142664872,1.0,
0.9377777777777778,1.0,
0.9379844961240312,3.0,
0.9380327868852458,5.0,
0.9380425531914892,3.0,
0.938050139275766,1.0,
0.9381392143349414,3.0,
0.9381863354037268,2.0,
0.9383249243188698,4.0,
0.9383588317107094,7.0,
0.9384488107549124,13.0,
0.9384615384615383,30.0,
0.9385152838427948,1.0,
0.9385245901639344,,6.0
0.9385945945945946,1.0,
0.9386008230452676,10.0,
0.9388416988416988,3.0,3.0
0.938886756238004,2.0,
0.9389473684210524,1.0,
0.9389500640204866,2.0,
0.938960709759189,1.0,
0.9390448833034112,1.0,
0.9391304347826088,1.0,
0.939310344827586,7.0,
0.939483600837404,1.0,
0.9394984954864594,6.0,
0.9395804195804196,1.0,
0.9395983935742972,3.0,
0.9398105548037891,2.0,
0.93984,,1.0
0.9398581560283688,6.0,
0.9398592964824122,17.0,
0.9398657718120804,,1.0
0.9398827330381716,22.0,
0.9399436619718312,,1.0
0.9399730094466936,1.0,
0.9399979501896074,4.0,
0.94,14.0,2.0
0.940016353229763,5.0,
0.9401117318435754,1.0,
0.9401438848920862,5.0,
0.940169971671388,3.0,
0.9402197802197804,7.0,
0.940253164556962,4.0,
0.9402985074626866,2.0,
0.9403156384505024,3.0,
0.9403206270039188,2.0,
0.9403866432337432,5.0,
0.9404036697247706,3.0,
0.9404041433180508,,5.0
0.9404404567699838,,4.0
0.9404573804573806,4.0,
0.9405128205128206,1.0,
0.9405298900047824,6.0,
0.9405345847786166,5.0,
0.9405351833498512,9.0,
0.9405463002114164,7.0,
0.9405623100303953,1.0,
0.9405765692087508,13.0,
0.9405793475122703,1.0,
0.9405838005026096,2.0,
0.9405986185725251,2.0,
0.9406111394992336,11.0,
0.9406112945559226,6.0,
0.9406214977075906,4.0,
0.9406359945872802,8.0,
0.9406497341996456,12.0,
0.9406802721088436,,1.0
0.9406960889845712,6.0,
0.9407081471295976,5.0,
0.9407250076585316,4.0,
0.940736377025037,,4.0
0.9407407407407408,1.0,
0.9407417397167904,7.0,
0.9407751937984496,5.0,
0.9408032675289312,11.0,
0.941,1.0,
0.9410416666666668,2.0,
0.9411111111111112,9.0,
0.9411126961483596,6.0,
0.9411380935121424,6.0,
0.9411612903225806,2.0,
0.9411786716557532,5.0,
0.9411916083916084,34.0,
0.9411965811965812,4.0,
0.9413333333333334,2.0,
0.9413564213564214,2.0,
0.9415204678362574,18.0,1.0
0.9416309012875536,3.0,
0.941636188642926,20.0,
0.9417021276595744,17.0,
0.941707147814018,11.0,
0.9417704918032788,9.0,
0.941818181818182,3.0,
0.9418585298196948,,22.0
0.9419664268585132,1.0,
0.9419689119170984,7.0,
0.9419853709508884,5.0,
0.9420145379023884,8.0,
0.9420259740259741,11.0,
0.9420314136125654,5.0,
0.9420450606585788,,3.0
0.9421724524076148,89.0,
0.9421727019498608,6.0,
0.942177493138152,13.0,
0.9421777516185992,120.0,
0.94218487394958,2.0,
0.9421897810218978,1.0,
0.94219665844974,26.0,
0.9422175290390707,4.0,
0.9422222222222224,105.0,
0.9422651448639155,1.0,
0.9423350253807106,1.0,
0.9423731186559328,5.0,
0.9423926731539782,83.0,
0.9424221453287198,151.0,
0.9424274973147152,4.0,
0.9424305003971408,41.0,
0.9424864864864866,,1.0
0.9424878836833605,24.0,
0.9425211437776884,61.0,
0.9425329043579996,124.0,
0.9425550660792952,3.0,
0.9425712623618384,140.0,
0.942619449128724,1.0,
0.942647828362114,16.0,
0.9426543046357616,18.0,
0.9426798307475316,3.0,
0.942680412371134,2.0,
0.9427027027027028,3.0,
0.9427103360272224,1.0,
0.9427389325610259,,1.0
0.942742474916388,6.0,
0.9427699018538712,2.0,
0.9427918907736864,1.0,
0.9427956989247313,1.0,
0.94280630812778,68.0,
0.9428571428571428,2.0,
0.9428774422735346,1.0,
0.9428852136892092,2.0,
0.9429102167182664,11.0,
0.9429891494574728,8.0,
0.9430340557275544,4.0,
0.9430434782608696,7.0,
0.9431021437578816,9.0,
0.9431738035264484,1.0,
0.9432258064516129,,2.0
0.9432394366197184,1.0,
0.9433333333333334,5.0,
0.9433591731266148,2.0,
0.9433674889310564,,1.0
0.9434225466342256,58.0,
0.9435040431266846,11.0,
0.943529411764706,20.0,
0.9435643564356436,8.0,
0.9436,1.0,
0.9436166924265844,18.0,
0.9436225266362251,7.0,
0.9436335877862596,15.0,
0.9436375460654672,40.0,
0.9436990595611284,13.0,
0.943710843373494,1.0,
0.94375,1.0,
0.9437837837837836,2.0,
0.9437934904601571,,7.0
0.94381679389313,5.0,
0.9438952796509325,20.0,
0.9439580814187828,25.0,
0.9439863130881094,40.0,
0.9440000000000002,1.0,
0.9440650406504064,3.0,
0.9440729483282676,1.0,
0.9440963855421688,3.0,
0.9441248972884142,16.0,
0.9441355932203391,1.0,
0.9441454545454546,7.0,
0.9442424242424244,15.0,
0.9442854771784231,17.0,
0.9443058350100604,1.0,
0.9443073341094296,1.0,
0.9443420616506464,2.0,
0.9443548387096774,3.0,
0.9444031830238726,4.0,
0.9444344793223716,,1.0
0.9444372990353698,30.0,
0.944450331125828,2.0,
0.9445146353563753,1.0,
0.9445321949484168,18.0,
0.9445381984036488,2.0,
0.9445418326693228,2.0,
0.9445751633986931,3.0,
0.944591780821918,1.0,
0.9446072607260728,1.0,
0.9446153846153846,1.0,
0.9446437994722954,1.0,
0.9446601454727864,1.0,
0.9446816846229188,24.0,
0.9446892950391644,4.0,
0.944707752074872,27.0,
0.9447509977442304,42.0,
0.9447520232413364,8.0,
0.9447567791347546,45.0,
0.9447654784240151,1.0,
0.9447815414825724,7.0,
0.944857621440536,22.0,
0.9448706686188384,14.0,
0.9448888888888888,1.0,
0.9449438202247192,2.0,
0.9449579831932772,44.0,
0.9449622980251348,,3.0
0.945,2.0,
0.9450025002500252,15.0,
0.945014361920394,64.0,
0.9450178359096316,4.0,
0.945029908972692,2.0,
0.9450617283950618,4.0,
0.945117520270964,9.0,
0.9451239669421488,3.0,
0.9451515320645196,9.0,
0.945179282868526,3.0,
0.9451974883532509,8.0,
0.9452054794520548,2.0,
0.9452088413435068,16.0,
0.945211459754434,2.0,
0.9452144745669072,18.0,
0.94522875090333,11.0,
0.9452513966480448,1.0,
0.9452538767933796,17.0,
0.9452575957727872,5.0,
0.9452923503582158,14.0,
0.945294050212083,1.0,
0.9453000234634524,7.0,
0.9453083109919572,3.0,
0.9453189446599332,,3.0
0.945360284902406,3.0,
0.9453658536585364,8.0,
0.9453952321204516,3.0,
0.9454126241296656,3.0,
0.9454205607476636,1.0,
0.9454263565891474,2.0,
0.9454319233022904,5.0,
0.9454545454545455,1.0,
0.9454643823264202,7.0,
0.945466590519703,4.0,
0.9454924588522436,6.0,
0.9454945054945056,3.0,
0.945496726771563,4.0,
0.9455146124523508,,1.0
0.9455258467023172,2.0,
0.9455434023737492,1.0,
0.9455436323142336,16.0,
0.9455707762557076,1.0,
0.9455892255892256,,1.0
0.9456084413350154,24.0,
0.9456287697735292,3.0,
0.9456335344553828,,2.0
0.9456344086021506,12.0,
0.9456426032992098,30.0,
0.9456464244447298,4.0,
0.945671436748712,5.0,
0.9456898656898658,18.0,
0.9456968601761916,,2.0
0.9457194035875572,2.0,
0.9457243816254416,,1.0
0.9457391304347826,3.0,
0.9457701044979556,5.0,
0.945785123966942,2.0,
0.9457995514047116,3.0,
0.94581865062312,3.0,
0.9458251000477946,148.0,
0.9458362631843296,8.0,
0.9458429858429858,3.0,
0.9458461538461541,5.0,
0.94585086042065,1.0,
0.9458605641298564,26.0,
0.9458608349900596,,10.0
0.9458707582606484,,1.0
0.9458807256477098,21.0,
0.9458903328773368,139.0,
0.9458909090909092,1.0,
0.9459033989266548,2.0,
0.9459105021790526,137.0,
0.9459294001481116,1.0,
0.9459459459459459,,5.0
0.9459485924112608,5.0,
0.9459678278470224,15.0,
0.946,3.0,
0.9460175407195276,,2.0
0.9460369163952224,,1.0
0.9460379620379622,,3.0
0.9460406716444468,139.0,
0.9460577952194078,3.0,
0.9461339934838592,107.0,
0.9461556886227545,5.0,
0.9461776504297994,12.0,
0.9461935749412776,86.0,
0.946203313927452,12.0,
0.9462063012516186,3.0,
0.9462223944207672,22.0,
0.9462248080055852,3.0,
0.9462300732442912,5.0,
0.946252427184466,5.0,
0.9462531568559482,73.0,
0.946256703611012,11.0,
0.9462595419847328,21.0,
0.9462945070674541,9.0,
0.9462988505747127,1.0,
0.9463128582204771,,26.0
0.9463129973474802,2.0,
0.9463164806303348,63.0,
0.9463236870310824,7.0,
0.9463239074550128,7.0,
0.9463484399908904,1.0,
0.9463541666666668,29.0,
0.9463639588506564,4.0,
0.9463687150837988,2.0,
0.946375227686703,,13.0
0.9463810930576072,4.0,
0.9463896103896106,,1.0
0.946403162055336,19.0,
0.9464102564102564,1.0,
0.9464446235115052,6.0,
0.9464454718520532,6.0,
0.9464507537420764,8.0,
0.9464627151051626,1.0,
0.946466790084436,4.0,
0.9464832330180568,5.0,
0.9464864864864866,5.0,
0.9465056082830026,4.0,
0.9465303514376996,4.0,
0.9465386051971614,14.0,
0.9465500522863391,,1.0
0.9465514681066488,4.0,
0.9465560165975104,3.0,
0.9465664160401002,,8.0
0.9465828257024956,20.0,
0.9465895146405944,,10.0
0.9465960264900664,5.0,
0.9466273141937216,5.0,
0.9466666666666668,101.0,1.0
0.9466767229188272,14.0,
0.9466815976110491,20.0,
0.9467013276390308,20.0,
0.9467013662979832,7.0,
0.946711737089202,13.0,
0.9467121083025656,4.0,
0.9467132867132866,8.0,
0.946736020806242,1.0,
0.9467449972461904,42.0,
0.9467685022531124,,13.0
0.9467685284389996,11.0,
0.9467926347247662,8.0,
0.9467945387945388,7.0,
0.9467968273337402,50.0,
0.9468012618296532,5.0,
0.9468205060967616,7.0,
0.9468233287534942,7.0,
0.946836086404066,12.0,
0.9468374113880632,43.0,
0.9468725868725868,2.0,
0.9468766404199476,5.0,
0.9468779714738512,11.0,
0.946881118881119,,5.0
0.9468897847417664,64.0,
0.9469152817186868,18.0,
0.9469306930693068,1.0,
0.9469473684210524,1.0,
0.9469499886165288,95.0,
0.946958162534973,8.0,
0.9469662921348314,1.0,
0.9469714285714286,1.0,
0.94698224852071,,1.0
0.946993567915248,78.0,
0.9470018484288354,11.0,
0.9470033222591364,28.0,
0.9470279220290508,57.0,
0.9470383275261324,22.0,
0.9470451612903226,34.0,
0.9470503597122304,2.0,
0.9470561571392596,28.0,
0.9470676691729324,10.0,
0.94710707404349,27.0,
0.947131647776809,2.0,
0.9471375464684016,4.0,
0.9471380013596192,11.0,
0.9472251308900524,10.0,
0.9472332784677542,37.0,
0.9472340425531915,4.0,
0.947244094488189,9.0,
0.947267497603068,2.0,
0.9472905942910624,4.0,
0.9473170731707315,2.0,
0.947329192546584,1.0,
0.9473478991596641,14.0,
0.9473613894455576,14.0,
0.9473644859813084,,1.0
0.9473794002607564,5.0,
0.9473804971319312,38.0,
0.9474143302180686,3.0,
0.9474157303370788,3.0,
0.9474178403755869,1.0,
0.9474219262871612,,14.0
0.947426536064114,4.0,
0.9474285714285716,4.0,
0.9474493361285814,3.0,
0.947461318051576,3.0,
0.9474647887323944,2.0,
0.947492957746479,2.0,
0.9475018208302984,1.0,
0.94752,2.0,
0.9475528020275978,59.0,
0.9475596993625726,34.0,
0.9475605214152699,5.0,
0.9475630252100842,1.0,
0.947570111048372,57.0,
0.9475728155339808,5.0,
0.9475756685277696,4.0,
0.9475862068965516,3.0,
0.9476335129838314,8.0,
0.9476416819012798,1.0,
0.9476584953508032,1.0,
0.9476620825147348,16.0,
0.9476708507670852,2.0,
0.9476867030965392,4.0,
0.9476966914674688,1.0,
0.9477256317689532,37.0,
0.9477646614411182,60.0,
0.9477714718123345,46.0,
0.9477777777777778,2.0,
0.9477781340173131,6.0,
0.9477837311251828,4.0,
0.947785547785548,1.0,
0.9477894736842104,5.0,
0.9478163439288759,4.0,
0.9478260869565218,7.0,
0.9478277259447744,65.0,
0.9478411053540589,2.0,
0.9478442765833816,7.0,
0.9478518518518521,16.0,
0.9478564634673584,4.0,
0.9478580086580086,4.0,
0.9478787878787878,7.0,
0.9478809831824062,2.0,
0.947906976744186,7.0,
0.9479116719242904,21.0,
0.9479245283018868,11.0,
0.9479273565869126,1.0,
0.9479280983916748,3.0,
0.94793005426824,4.0,
0.9479483756119272,4.0,
0.9479518072289156,1.0,
0.9479635258358664,2.0,
0.947972027972028,2.0,
0.9479754601226992,1.0,
0.9479825834542815,2.0,
0.947990832696715,83.0,
0.9480151358789132,3.0,
0.9480453452421848,3.0,
0.9480650994575046,1.0,
0.9480684596577016,,1.0
0.9480784313725491,,6.0
0.9480794701986756,,3.0
0.9480859375,3.0,
0.9481223529411764,8.0,
0.9481278538812784,1.0,
0.9481481481481482,1.0,
0.9481751824817516,2.0,
0.9481761006289308,1.0,
0.9482332955832388,5.0,
0.9482335586969884,24.0,
0.9482352941176472,33.0,
0.9482469135802468,3.0,
0.9482553191489362,13.0,
0.948263473053892,2.0,
0.9482828282828282,,1.0
0.9483006127297736,21.0,
0.9483064631188473,,1.0
0.9483124397299904,1.0,
0.9483176312247644,4.0,
0.9483385579937303,1.0,
0.948366533864542,12.0,
0.9483870967741936,3.0,
0.94840097799511,,1.0
0.948422843256379,33.0,
0.948436018957346,2.0,
0.948445792266869,82.0,
0.9484675324675323,1.0,
0.9484688040441664,,10.0
0.9485024768195098,15.0,
0.9485121107266437,1.0,
0.9485126286248832,2.0,
0.9485252022401992,22.0,
0.9485305963362348,17.0,
0.9485327187652768,14.0,
0.9485714285714286,2.0,
0.9486300289245332,14.0,
0.9486376513005408,21.0,
0.948641975308642,1.0,
0.9486462156360363,6.0,
0.948673835125448,2.0,
0.9486868686868686,11.0,
0.9487279549718576,,28.0
0.94874251497006,5.0,
0.9487581699346406,8.0,
0.948759444309042,32.0,
0.948791405550582,7.0,
0.94879911912463,19.0,
0.9488,3.0,
0.9488123791102514,73.0,
0.9488191330343798,3.0,
0.9488202692003168,7.0,
0.9488219756999472,17.0,
0.948843537414966,1.0,
0.948861612515042,2.0,
0.9488616462346762,3.0,
0.9488735632183908,1.0,
0.9488757396449704,7.0,
0.9488903833221252,1.0,
0.9488955223880596,2.0,
0.9488981288981287,19.0,
0.9489075630252102,23.0,
0.9489205921938088,17.0,
0.9489532741584324,1.0,
0.9489900990099008,4.0,
0.9490265486725664,5.0,
0.9490290290290292,23.0,
0.9490321516900248,3.0,
0.949038737446198,1.0,
0.9490447561790248,5.0,
0.9490586495810744,1.0,
0.9490766208251472,41.0,
0.9490872817955112,1.0,
0.9491162327972144,1.0,
0.9491186182372364,22.0,
0.9491660047656872,91.0,
0.9491742013261,,4.0
0.9491794267766,100.0,
0.9491891891891892,2.0,
0.949193586982532,,1.0
0.94919881305638,,1.0
0.9492162312395775,17.0,
0.9492163009404389,103.0,
0.9492180312787488,3.0,
0.94923990044036,8.0,
0.9492487116897206,20.0,
0.9492682926829268,5.0,
0.949270026659896,23.0,
0.9492957746478874,2.0,
0.9493471729035784,16.0,
0.9493525179856116,1.0,
0.9493658105635135,26.0,
0.9494087403598972,3.0,
0.9494092373791624,24.0,
0.9494272901985904,14.0,
0.9494277929155316,5.0,
0.9494505494505494,30.0,
0.9494536817102136,76.0,
0.9494541231126596,2.0,
0.9494634146341464,52.0,
0.9494736842105262,23.0,
0.94951871657754,1.0,
0.949535095715588,5.0,
0.9495384615384616,2.0,
0.9495593220338984,9.0,
0.949581993569132,12.0,
0.9496296296296296,4.0,
0.949648033126294,35.0,
0.9496971265855552,,5.0
0.9497089759308251,18.0,
0.9497142857142856,1.0,
0.9497187962506166,1.0,
0.9497280966767372,1.0,
0.9497371714643306,20.0,
0.949738219895288,1.0,
0.9497472924187726,1.0,
0.9497515758249908,6.0,
0.949762042948346,3.0,
0.9497637288353828,12.0,
0.9497688292319166,6.0,
0.9497721518987344,1.0,
0.9497775580820562,1.0,
0.9497781514779122,9.0,
0.9498202898550724,4.0,
0.9498461538461538,,1.0
0.9498611111111112,,6.0
0.9498642533936652,7.0,
0.9498795180722892,3.0,
0.9499021526418788,2.0,
0.9499061728395062,1.0,
0.9499073120494336,2.0,
0.9499108280254778,2.0,
0.9499419087136932,1.0,
0.9499526066350712,165.0,
0.9499636363636365,1.0,
0.9499899497487438,1.0,
0.95,43.0,
0.9500190476190478,8.0,
0.9500630182421228,1.0,
0.950063694267516,3.0,
0.9500671140939598,6.0,
0.9501075268817204,2.0,
0.9501118012422359,6.0,
0.9501200252684776,1.0,
0.9501409332915752,1.0,
0.9501886792452832,1.0,
0.9502158273381296,4.0,
0.9502365374937092,29.0,
0.9502392344497608,3.0,
0.950255941499086,,69.0
0.950260336906585,1.0,
0.9503364613931564,356.0,
0.9503448275862068,3.0,
0.9503553687428354,4.0,
0.9503570114096428,9.0,
0.950359477124183,8.0,
0.9503740715732614,3.0,
0.9503784526303892,291.0,
0.950381291306558,31.0,
0.9503882609000912,234.0,
0.9503899256826976,285.0,
0.9504,2.0,
0.9504160866202628,2.0,
0.9504204413472708,3.0,
0.9504234036962425,242.0,
0.95042589556664,283.0,
0.9504285714285714,6.0,
0.9504321576382266,282.0,
0.9504359968968192,4.0,
0.9504568527918782,27.0,
0.9504761904761904,6.0,
0.9504783830449944,2.0,
0.9504974977921696,1.0,
0.9505015534842434,23.0,
0.9505083172147002,8.0,
0.9505154639175256,9.0,
0.9505314009661836,1.0,
0.9505373342637824,3.0,
0.950537634408602,1.0,
0.9505539358600584,,1.0
0.9505550952775476,2.0,
0.9506302367941712,7.0,
0.9506320907617504,2.0,
0.950632911392405,3.0,
0.9506382978723404,3.0,
0.9506400186639709,7.0,
0.9506467661691542,1.0,
0.9506483790523692,1.0,
0.9506766917293232,2.0,
0.9506918238993712,2.0,
0.9507002801120448,1.0,1.0
0.9507082714214958,1.0,
0.9507083070830707,,6.0
0.9507260891337006,1.0,
0.9507338543070152,33.0,
0.9507368421052632,3.0,
0.9507477044162658,17.0,
0.9507692307692308,1.0,
0.9507703370786518,24.0,
0.9508237378210808,,1.0
0.9508319185059424,,1.0
0.9508333333333334,1.0,
0.9508348009862628,,16.0
0.9508460817983142,6.0,
0.9508616565611616,20.0,
0.9508624053695468,,3.0
0.9508695652173912,1.0,
0.95088185161927,39.0,
0.9508981821438168,41.0,
0.9508994708994708,1.0,
0.9509077912794854,20.0,
0.9509243697478992,29.0,
0.9509433962264152,,1.0
0.9509493219129193,22.0,
0.9509536784741144,1.0,
0.9509660226515656,12.0,
0.9509735688670476,30.0,
0.9509803921568628,8.0,
0.9509826589595376,3.0,
0.9509851551956816,23.0,
0.9510136336692354,1.0,
0.951033069295962,12.0,
0.9510361445783132,7.0,
0.951044776119403,5.0,
0.9510757381258024,34.0,
0.951082351639843,16.0,
0.9511111111111112,2.0,
0.9511147811725846,2.0,
0.9511342351716964,5.0,
0.9511359404096832,4.0,
0.9511367628607276,,23.0
0.9511468224981738,2.0,
0.9511733333333334,1.0,
0.9511864406779662,2.0,
0.9511949685534592,1.0,
