,shop_id,shop_id
396667227704841240,1.0,
397584064619086793,6.0,
398444568403168130,443.0,7.0
399662319494333999,11.0,
401642949847037895,3.0,1.0
402056052612916305,73.0,4.0
403445246911940809,342.0,20.0
406014053293722980,178.0,5.0
406366700412194070,14.0,
406370788705450971,6.0,1.0
411468658494904315,44.0,1.0
417799978729123288,1.0,
421310167661079934,3.0,
422405716733967208,3.0,
428317243542645522,106.0,5.0
430818072852925049,11.0,
431334732898252081,10.0,
436273685634284567,1320.0,69.0
439173464969188422,206.0,6.0
445865366670592409,1.0,
449311778137212515,73.0,1.0
452217076197556705,42.0,1.0
455241332886147193,57.0,2.0
455680982393360555,55.0,
457935058638688887,91.0,3.0
458834919900859758,10.0,1.0
458999623762757610,12.0,
459414289284090470,281.0,10.0
466514900646182218,50.0,1.0
466677822513214990,2.0,
467303304484747879,37.0,
476263518922497938,84.0,5.0
478860923201159623,2.0,
480946373612769276,4.0,2.0
481325779401719678,4.0,
483217489078427023,4.0,1.0
485169367849897782,157.0,5.0
485487383120751811,1.0,
486801098428239732,226.0,11.0
489545020600964148,29.0,2.0
490224018786261889,3.0,
491170600600448045,2.0,
498092646619245733,3.0,1.0
500378403670609059,233.0,10.0
509152274948419345,1133.0,61.0
509805030296748970,6.0,
512459782814427129,1.0,
512552212867936091,65.0,3.0
515707398836106752,112.0,5.0
517803733154071713,9.0,
519541408939940080,416.0,18.0
521992831863036997,46.0,1.0
526210348814248122,1.0,
527299027293594733,18.0,2.0
528935858642765642,10.0,2.0
534204627002931202,7.0,
538603254433701925,20.0,
539165897580815528,9.0,
544581662044692371,5.0,1.0
545531384272212619,47.0,1.0
549254603611926449,11.0,
557036601066003164,2.0,
563385451053993992,6.0,
564166988292177142,4.0,
564578032199273533,114.0,8.0
570195326958688481,343.0,4.0
571221983663118416,21.0,
571860922787254412,3.0,
572084226203388679,2827.0,101.0
578356846281766693,4.0,1.0
580359060587441170,29.0,3.0
586859544414558419,2.0,
589207447635704152,1.0,
590261017889144004,329.0,10.0
593605515762434411,15.0,
594970167210582307,71.0,
598593037659069503,1.0,
602807662970334244,4.0,
602814017749883615,,1.0
602934113781865777,3.0,1.0
605316788667648241,191.0,9.0
608992428258744801,12.0,1.0
616148300130335298,119.0,1.0
618733923965227969,42.0,1.0
618921974948047989,24.0,1.0
620548858798451040,38.0,1.0
623412247509003893,4.0,
625941173637908698,5.0,
627226647819423503,9.0,1.0
638661490481538930,10.0,1.0
639591586021447971,142.0,5.0
641368386356574860,9.0,
642164976789356783,3.0,
644025581338563281,774.0,25.0
644579419184120533,8.0,
644679975081633818,5.0,
646679363908564338,114.0,3.0
657964425814662691,214.0,6.0
662509322693699891,21.0,2.0
662528533356589685,677.0,20.0
664191890817251556,10.0,
668494413144249231,4.0,
669996241618118149,95.0,2.0
671489831706825897,279.0,7.0
673809745278112979,122.0,5.0
676081549390162325,106.0,5.0
678590808784333385,66.0,3.0
679410328420483637,67.0,3.0
680501178816621292,900.0,39.0
683693745435294968,2.0,
690102074038569866,1.0,
691545838464511236,196.0,11.0
694894003048203849,176.0,11.0
694933122429187631,2.0,1.0
696770032854974333,816.0,41.0
699530830985288689,1.0,
704497239262710181,84.0,1.0
715370993254759663,43.0,1.0
717803153575070838,105.0,3.0
720227720486604999,1.0,
724346802072443510,8.0,
725622477247010594,2.0,
726362695739207916,3.0,
727560796600125849,4.0,
727890643088511058,29.0,1.0
734568684994347649,447.0,10.0
736010189003174112,40.0,
737690723817163544,29.0,2.0
739730155990300853,16.0,
742059413298198790,47.0,
742755264155525230,2.0,
743420183997648674,1.0,
743476526520755965,109.0,
747002901100900827,2.0,
747192405234013994,71.0,4.0
751197072517876758,35.0,1.0
752699794163808574,22.0,
753290833014735276,280.0,6.0
755057348664047706,7.0,
755406259666060223,5.0,4.0
755428602497150932,181.0,11.0
755459213242939900,213.0,10.0
756015104938843304,18.0,1.0
757056104234357692,18.0,
759740471748110547,370.0,17.0
760490043694125112,2.0,
761574775078361190,111.0,1.0
762818260660138585,152.0,4.0
764028577412846825,4.0,
765057020756335280,13.0,1.0
779611875673746512,354.0,13.0
780531662720643397,28.0,
789416836712473880,4.0,1.0
790937895804048366,8.0,1.0
792521405284645678,320.0,7.0
794832839167321508,18.0,1.0
795406106272171052,3.0,
797795862664390663,2.0,
803312520471539164,174.0,10.0
803693169431679728,12.0,2.0
805630845400216423,112.0,2.0
808269129404368792,8.0,
809175581192723834,1601.0,46.0
810717775118096735,23.0,
810893775557966812,2.0,
812717123580707119,154.0,3.0
813458252593817916,36.0,
814553463457602247,51.0,
815251018130280304,22.0,1.0
816222457999653564,1.0,
818009336769939913,31.0,1.0
818609900863403304,1.0,
819825360579970100,23.0,1.0
821979813636445285,97.0,4.0
823395678636064264,25.0,
824508393756509011,15.0,
825168519454473940,12.0,
825612079998409665,104.0,6.0
826963163675306355,6.0,
828406107144553911,169.0,1.0
830225512911199830,2.0,
833646926014386333,10.0,
836468443827362373,22.0,1.0
839860939867801483,,1.0
840167561400451011,90.0,
842386606234845327,3.0,
842927947526720976,5.0,
842930767108468077,1.0,
844499051097174862,3.0,
846243712136004146,740.0,18.0
847149504847747701,1.0,
850363887266058339,11.0,2.0
853760117423835420,255.0,14.0
855126179260660023,1134.0,43.0
859844260858957996,3.0,
863102133902416627,1.0,
869758032728092600,1.0,
871876232795043415,3.0,
879333861536393750,2.0,
881250825575679315,4.0,
885166875933565788,274.0,7.0
885241830775377028,135.0,5.0
888294398821738009,135.0,7.0
893124445155823511,27.0,2.0
899774837662385861,137.0,4.0
901070825702853478,5.0,1.0
905053236277848545,136.0,
906771710200127422,154.0,4.0
906980752310060806,5.0,
907545449346301249,18.0,1.0
908422645777567240,96.0,
912545710043929293,2.0,
912621234471272754,59.0,1.0
914761607511788279,6.0,2.0
915430234741228414,4.0,
916499163992460615,46.0,1.0
923217567482253499,183.0,
923281999955832170,23.0,1.0
924750325847197768,35.0,3.0
928977643929426841,26.0,1.0
930649288963003634,76.0,2.0
935170946813171222,3.0,
939733269883696046,25.0,1.0
940302127310401226,1.0,
944346051693776705,1.0,
947024124892358740,146.0,2.0
947788215032972600,5.0,
948747039061256384,31.0,1.0
952149030919757870,1.0,
955634243552266530,5.0,
957164184114510396,2.0,2.0
961240036800627933,1.0,
966320135227662929,1.0,
966656354475146664,540.0,29.0
966789879913840849,1.0,
972231652510841881,1.0,
972567154730870310,478.0,35.0
974243631344931135,12.0,1.0
975233357902192444,60.0,1.0
976522748176362856,2.0,1.0
977958153611255161,10.0,
978121395631783553,7.0,
980577711613296862,16.0,
982227796261353196,1.0,
983993089397474853,210.0,6.0
984080635417066144,43.0,1.0
991755317200470101,11.0,1.0
993293443930379298,616.0,24.0
994779901360304145,21.0,3.0
995504801585044590,58.0,3.0
997042312590733837,76.0,8.0
998814366995360414,1.0,
999152553594959088,1.0,
1000494362578117597,18.0,
1000761596655149688,1.0,
1004550020317978073,39.0,1.0
1004645125836282096,327.0,22.0
1005101029848157759,38.0,1.0
1006583832437600619,54.0,2.0
1008613086139507130,18.0,1.0
1008616050035598437,11.0,
1009123738628763409,3.0,
1011960135237441497,143.0,9.0
1016517309138785471,27.0,2.0
1017008545083821839,1.0,
1018146226814395328,1.0,
1018602721205829209,139.0,5.0
1019391230726847317,63.0,4.0
1024244521252432313,132.0,2.0
1027688057834902203,19.0,3.0
1035080235034554766,142.0,11.0
1036335700570798456,2.0,
1043635626184798389,4.0,
1044168284184459632,2.0,
1051233962100769940,9.0,
1052167797345214061,9.0,
1055857736113637031,4.0,1.0
1060640383422963713,7.0,
1063057144380453968,1.0,
1066742695965976786,2.0,
1068707119269107305,2.0,
1070864282376610845,61.0,2.0
1071817527033728665,311.0,12.0
1071996587188073218,67.0,1.0
1072288082879573670,1.0,
1072638978039413178,56.0,6.0
1073149660548018746,553.0,30.0
1075328862710772224,126.0,3.0
1078434793789913899,391.0,18.0
1082296233706836285,2.0,
1091499661419284880,1758.0,70.0
1093241902236060095,3.0,
1093292090118843114,8.0,
1094417564147684078,48.0,5.0
1102446740378035406,24.0,
1105809792502745338,17.0,
1111449580687419255,98.0,6.0
1117497216987195638,5.0,
1118201480198907857,1.0,
1119712318114429402,4.0,
1120064440460571023,1.0,
1121641213108955601,3.0,
1123288257966831131,17.0,
1127311345930718069,3.0,
1127666217390274424,100.0,5.0
1128356130871148277,16.0,
1129856382588911679,91.0,7.0
1135538617284490296,103.0,3.0
1135748931507474926,16.0,
1136919265851914303,48.0,2.0
1137741296022790706,1.0,
1138391473839889020,58.0,3.0
1138425151400299546,234.0,10.0
1141598131993468651,6.0,
1142873714414345459,319.0,14.0
1143269944069300420,1.0,
1143562695294007815,27.0,4.0
1147775509638741798,108.0,2.0
1148742388501872472,62.0,3.0
1149126328364558334,98.0,1.0
1149711562432123932,23.0,1.0
1150172302283752478,15.0,
1154303596392299055,7.0,
1157663014258704859,285.0,11.0
1158499493874299065,2.0,
1163056351895128997,10.0,
1165700079527334342,7.0,
1173354486005158744,,1.0
1175048212843436930,5.0,2.0
1178062662886971835,4.0,
1178644325004527873,23.0,
1182249201812458187,596.0,4.0
1184874523478598538,118.0,6.0
1195027100558236526,14.0,
1195736699948901033,5.0,
1197915329616253791,52.0,
1198465622707287975,165.0,7.0
1202360921984085749,514.0,19.0
1204518817778545748,118.0,
1205309126682454821,7.0,
1205811650451771151,229.0,7.0
1206887388978655185,8.0,1.0
1208947992757348998,5.0,
1209511329771589667,8.0,
1215048811313274344,2.0,
1217183907488169936,293.0,16.0
1220816445246806261,1.0,1.0
1221094595647779352,167.0,4.0
1221732602008300815,32.0,2.0
1226208916500503949,11.0,
1226449931700975609,10.0,
1227294745014468601,19.0,
1228907419954618197,293.0,9.0
1229143301562572633,15.0,
1235732892487977180,1130.0,45.0
1236559384907920107,142.0,4.0
1238664081290214710,4.0,1.0
1239481181711478081,834.0,21.0
1242050031407252445,58.0,
1242112310682881548,262.0,12.0
1247497367112629587,2.0,
1251783924302151664,1.0,
1252570397447355553,7.0,
1258738776319420615,103.0,3.0
1259633531170908176,100.0,
1262289439279857264,14.0,
1262318696568194586,1.0,
1267129908466668241,1908.0,80.0
1268885481490681170,542.0,19.0
1270482999478388209,1.0,
1272177453022997783,122.0,3.0
1272262679541485723,67.0,
1272776576475787974,13.0,
1274001325470972021,5.0,
1274209371528466082,5.0,
1276403395729151431,,1.0
1280219858656373384,561.0,22.0
1281324452610916443,85.0,5.0
1282370388968806446,2.0,
1283383895509922330,1.0,
1286130111051286506,196.0,9.0
1288390438097257007,2.0,
1289366135291476714,62.0,
1295399513149361708,31.0,1.0
1297793851210877799,6.0,
1303045801739999141,3.0,
1304391047953821643,633.0,21.0
1306217106177546629,67.0,4.0
1306700618020031830,18.0,
1306961172844727256,137.0,6.0
1313493456249549542,2.0,
1313680090794391678,38.0,1.0
1315520970048527515,4.0,
1317671488320417457,41.0,1.0
1318233521280223011,2.0,
1319892355243270042,523.0,25.0
1323066371939828055,14.0,
1328588336419227760,35.0,3.0
1328643350231390154,2.0,
1329555954568296183,2.0,
1329838078997626194,2.0,
1330583232396322274,1.0,
1330712039396395722,6.0,
1335300378539336696,22.0,
1339134709367272990,7.0,
1339503821693161546,6.0,1.0
1340033742000773028,3.0,
1344378795605864530,89.0,
1345108707289300702,4.0,
1345901621476608185,1.0,
1350836382126694184,13.0,
1351548768029994999,14.0,1.0
1352470842786321491,15.0,
1353357495902759753,5.0,
1356056925423770319,51.0,3.0
1357262269912636418,42.0,
1368351931816450212,565.0,9.0
1371839202627820650,1.0,
1376710342373440558,17.0,1.0
1376822394773544303,2.0,
1377688688141917065,39.0,
1377735324775083102,22.0,5.0
1381192385915155512,2.0,1.0
1382923558440417560,1.0,
1388192558793708446,59.0,2.0
1389108435020265011,24.0,2.0
1393471535680372677,1.0,
1395751960573835680,9.0,1.0
1399679818690408320,4.0,
1401303374911051726,24.0,3.0
1401571413993965483,2.0,1.0
1402527244359466193,3.0,
1406863158793860930,6.0,
1409334725145293705,1.0,
1410225095328951742,8.0,
1410520447132406083,1164.0,51.0
1412434367840765366,1.0,
1413126466215356873,1.0,
1414782198034096019,132.0,4.0
1420025599934287957,727.0,21.0
1424270158819042614,22.0,
1425106245844434489,22.0,
1425855580587400230,19.0,
1427716291042943111,48.0,1.0
1432852417498258860,4.0,
1443583813092432966,4.0,1.0
1444969075274335487,9.0,1.0
1449156179889740661,60.0,3.0
1452500335359730686,1.0,
1456364456734274092,3.0,
1459502714610057859,27.0,1.0
1463097604371362094,36.0,
1465890785537705843,44.0,3.0
1471946754995115281,17.0,3.0
1476888737836465309,2.0,
1479240833816544021,5.0,1.0
1479863024079072562,2.0,
1480763421284593878,176.0,2.0
1480950963650367967,1.0,
1487770334290899022,6.0,1.0
1487841218903428951,1.0,
1491203354404237156,503.0,12.0
1492240967099043644,3.0,
1492785812551166797,26.0,
1494120327750336037,1.0,
1495022931710820648,1.0,
1501493915956984828,1.0,
1501711672217366411,5.0,
1502718354670583858,2.0,
1506384421411653801,14.0,
1506390456849445896,75.0,7.0
1512830268280620514,45.0,2.0
1516704541130316130,131.0,
1517647459625790171,512.0,18.0
1522082676175906673,82.0,5.0
1522636638506667295,1.0,
1525493516326706828,174.0,6.0
1527946993246496734,13.0,
1528028897511628189,16.0,
1529146551464508302,846.0,31.0
1531046038840796289,1.0,
1534074902014047667,8.0,1.0
1534339855639835615,119.0,5.0
1536068453962702890,3.0,
1549199747747838588,3.0,
1549876214928908908,33.0,2.0
1551545493173597456,11.0,
1552631809030220963,10.0,
1556321475511316547,59.0,
1558944654006573541,12.0,
1560969618072394040,24.0,2.0
1563570907471122690,10.0,
1565435433790214043,7.0,
1567535486264635640,280.0,20.0
1569726248164578801,3.0,
1575417187119360117,2.0,
1583773157243932592,80.0,
1585979902112843922,6.0,
1587489897616092751,131.0,2.0
1592696651007694410,295.0,17.0
1595356669949837605,437.0,
1596090791605597174,2.0,
1601749742610139433,43.0,1.0
1601987196900892278,98.0,8.0
1602361026622948137,1.0,
1602367767286319610,185.0,9.0
1602699804098091972,108.0,
1607065185368000460,21.0,2.0
1609535765001566014,2.0,
1610145899497148042,517.0,23.0
1610256878715841694,2.0,
1611377086890205454,11.0,
1612201050602162460,18.0,
1613497347152938477,25.0,
1626384774001329519,17.0,
1628424824784819606,15.0,
1629806877992056084,11.0,
1633636554943444716,1.0,
1638465118634225112,53.0,
1639016133537748962,13.0,
1644420548260340893,285.0,6.0
1645520115686775664,7.0,
1645587467199715212,1.0,
1648088887957901742,19.0,1.0
1649822632584489327,74.0,
1650895409529731353,11.0,1.0
1651462098067387028,11.0,
1652683050315939464,2.0,
1658014236546817412,10.0,1.0
1659631689886765246,33.0,1.0
1663333246406072280,,1.0
1664758032291209145,1.0,
1665522655900224530,19.0,1.0
1665826143709203370,66.0,2.0
1666180469787525447,6.0,
1668289913186375765,7.0,
1669341194706274519,22.0,1.0
1669760197144725857,16.0,
1672202913386040017,3.0,
1672740434947450440,1.0,
1676736756221203727,54.0,
1682760166633430740,3.0,
1690084161873262276,64.0,
1692566227134890929,7.0,
1692897719317423420,4.0,
1694107377368772136,37.0,1.0
1696222873016922811,21.0,
1696230570312048682,14.0,
1696540520765055651,7.0,
1701033542796485291,57.0,1.0
1701961628939475705,2.0,1.0
1706256130274965950,2.0,
1708734700228326824,20.0,
1715902983452572338,1.0,
1721151544806679388,41.0,
1724303386614763662,9.0,
1725472248076342895,1.0,
1728283757315532332,5.0,
1729413480166306872,850.0,36.0
1731508951504197222,11.0,
1739583004141608748,5.0,
1739847943604465562,72.0,3.0
1746932059651933350,35.0,3.0
1747363987118840160,90.0,1.0
1750648216490291622,443.0,25.0
1755283087317364876,1057.0,28.0
1760357119436735314,8.0,2.0
1770601690653527370,5.0,
1771436132889805972,537.0,40.0
1772749099256654247,10.0,
1773252007568838954,1084.0,23.0
1774125035915786418,7.0,
1780948205204260192,15.0,1.0
1781796774393947886,374.0,19.0
1782450496682804638,246.0,11.0
1785163465281469209,225.0,6.0
1785680356595684886,123.0,4.0
1785995356715070361,22.0,1.0
1786113869251171399,160.0,2.0
1790590263744360051,16.0,
1795831258328604125,8.0,1.0
1798254402409928556,36.0,3.0
1803431362163347090,55.0,2.0
1803679554602149696,23.0,
1803816229987524780,20.0,1.0
1804508513143847806,30.0,
1818537333947778155,164.0,3.0
1821886185521971023,418.0,9.0
1823800078699927728,95.0,9.0
1824486627698128181,1.0,
1825590867586379994,42.0,2.0
1829523634100941226,1.0,
1830866201665893078,166.0,14.0
1832591084493498156,5.0,
1833581990034219558,2.0,
1834022147833527578,5.0,
1839773920941584665,13.0,3.0
1840554935239711069,4.0,3.0
1846704057027595856,8.0,
1852513102960366190,38.0,2.0
1854741640517375828,69.0,3.0
1860623283431515339,1.0,
1863899611331391081,159.0,
1883064172951441519,27.0,2.0
1885358156331527498,6.0,
1887028286827049886,5.0,
1892044164800846646,230.0,8.0
1897182679007788766,2.0,
1898125111338443163,35.0,3.0
1898427692530135346,2.0,
1898672071019016485,3.0,
1899524577492872545,20.0,2.0
1904208859304227719,2.0,
1905230066293959628,3.0,
1906341668443313244,56.0,
1911476835818208822,248.0,11.0
1913668845859590742,1.0,
1915715927446648474,,1.0
1916557319504019629,3.0,1.0
1919144795575047773,21.0,
1920347093213716980,478.0,23.0
1921581659648415165,5.0,
1929655098658480640,1.0,
1929893012616168010,3.0,
1932086538588242822,9702.0,415.0
1932622999086381693,20.0,
1932806395132251863,1.0,
1934926768808168721,206.0,18.0
1935913164913689556,4.0,
1936920001745344604,2.0,
1937009961965473564,30.0,
1939692095102798622,1114.0,49.0
1946348397494678603,37.0,4.0
1948155872985970346,5.0,
1951922547368629484,25.0,
1952699980642206836,256.0,5.0
1953888710997409855,48.0,2.0
1954471867146304212,21.0,
1956893350003113011,183.0,6.0
1958451397393283815,264.0,4.0
1959119820119528747,19.0,
1959480713638623761,97.0,4.0
1967928669527041226,99.0,2.0
1974098977669581582,58.0,4.0
1975284615808601714,11.0,
1977993668882809560,3.0,
1979805301366865934,26.0,1.0
1981234932939113683,2.0,
1982848194814756504,35.0,
1983413373085617405,2.0,
1988109758084953321,4.0,
1989821968003754090,289.0,4.0
1992745227259452563,17.0,
1997008665887954742,10.0,
1998169949091437819,149.0,4.0
2000655060465559420,11.0,
2001338846845446075,1.0,
2004492107086363897,36.0,1.0
2009594177386320107,31.0,
2012690324188862600,1456.0,54.0
2015688638176694424,379.0,17.0
2016660313804017395,376.0,11.0
2018185167794307833,2.0,
2018342331202902870,10.0,2.0
2024892006472614911,15.0,
2025576994711098052,5172.0,122.0
2031152784717263681,3.0,
2031382533019728966,3.0,
2032153364501595691,80.0,4.0
2033265213434619288,96.0,10.0
2033699598277007311,77.0,3.0
2033829004999186724,450.0,15.0
2037462444557910224,67.0,5.0
2041756304081330732,1.0,
2044855021096984002,4.0,
2046824114054203851,26.0,
2049263784910691563,,3.0
2052683988263359201,10.0,
2053855068767911180,1.0,
2053957336893729718,9.0,1.0
2056111342320690815,418.0,13.0
2057509046916178733,41.0,
2059698800986450659,829.0,26.0
2068398701492203978,11.0,
2070315423586706403,11.0,
2071169406969178799,78.0,3.0
2077794585011036716,3.0,
2084049569036639081,135.0,5.0
2084171716294401623,6.0,2.0
2084480993014215105,45.0,1.0
2085060750004423145,1.0,
2085313759309831761,3.0,
2089663807012712677,8.0,1.0
2090022202315216061,2.0,
2090044784944407720,18.0,1.0
2090564635521493002,27.0,3.0
2090622683845479416,14.0,
2096024489395217307,10.0,
2096949493124215266,6.0,
2097079669780095668,207.0,9.0
2097381322616366417,162.0,4.0
2098502092882749156,211.0,2.0
2101020084612976833,4.0,
2102527519553950663,140.0,8.0
2109245247950163324,45.0,2.0
2119291054574842984,137.0,5.0
2119329542129528171,4.0,
2130276003292919009,240.0,10.0
2131500488828967486,18.0,
2134060200588562824,765.0,31.0
2134144511943453295,104.0,6.0
2147048781625954346,4.0,1.0
2150928964103657561,443.0,16.0
2157493595535331711,22.0,2.0
2158859953068384179,43.0,1.0
2160076952136915539,2.0,
2163102126939187293,22.0,1.0
2165464251656200335,6.0,
2169288980352925207,1.0,
2170279305679147138,57.0,3.0
2172900416713065008,72.0,1.0
2181453661753678317,227.0,9.0
2182282589598467752,89.0,
2183964106587890196,1013.0,47.0
2187677600958531428,83.0,2.0
2187763205641129974,4.0,1.0
2189612118563005622,3.0,
2193906215184973716,23.0,
2194803221788481572,6.0,
2199237083139418164,60.0,6.0
2202933251701359886,67.0,1.0
2203702888154898263,1.0,
2206045049490835936,3.0,
2208124188583720095,1.0,
2210891673446652087,8.0,
2210917028665878677,69.0,
2212527302222826904,1.0,
2214393787173938246,2.0,
2216407915154945488,,1.0
2219589651442346735,285.0,14.0
2220039859548541556,6.0,
2221161166425040133,6.0,
2223752562869311789,5.0,
2226319551340308147,12.0,
2231419191860039129,17.0,2.0
2233800977754154896,75.0,10.0
2235387999223858986,121.0,5.0
2235549091227361052,3.0,
2236133929594042992,14.0,
2237092456384729974,11.0,
2237183476900451181,1.0,
2246115433221657483,23.0,1.0
2252602270159838924,7.0,2.0
2252965911960258587,2.0,
2257187336552571668,2.0,
2259418579907170309,92.0,2.0
2262003408044422567,4.0,
2264917374002829005,1324.0,48.0
2265389239402651784,467.0,17.0
2268371637030704772,259.0,4.0
2272299596176168977,34.0,1.0
2277673502171151507,8.0,
2277701793923331047,302.0,14.0
2278354239960697262,12.0,
2279757471164044272,1.0,1.0
2280428707412577705,222.0,6.0
2284357519876423569,1.0,
2287293269992634824,19.0,
2293478916302382135,11.0,
2293664354762083709,2.0,
2295135437442767072,28.0,
2295909958456134480,12.0,
2298535111279700646,2.0,
2300452815988159307,1.0,
2303242825918365388,633.0,10.0
2303910679801190057,1407.0,46.0
2305658942572658610,12.0,1.0
2306840195399832849,101.0,3.0
2309617337348203366,21.0,1.0
2314598640737630155,3.0,
2314830792693692946,6.0,1.0
2318862782069418906,476.0,16.0
2318980985728122505,1.0,
2319485341269643224,12.0,
2320553574257239871,1.0,
2321953292098529639,213.0,9.0
2326310347663392359,37.0,3.0
2326502994470979821,29.0,
2326731832492864428,403.0,12.0
2329246366025297496,367.0,12.0
2330502200414454661,6.0,
2333185535148806704,194.0,12.0
2334113756671224433,2.0,
2334717722245594760,45.0,4.0
2335147251174888469,2.0,
2336956575732832031,1.0,
2347481857286608511,18.0,
2348569795117344107,111.0,9.0
2351186274254729251,737.0,32.0
2351776774975537816,,1.0
2352848388147548681,552.0,13.0
2353536016030615556,14.0,
2363141666720586118,33.0,
2363342019862408082,19.0,
2364479737437599787,2.0,1.0
2367122236026295714,291.0,6.0
2371880673220175699,203.0,13.0
2373872274595160154,21.0,
2375316937551842578,4.0,
2383179834961710972,32.0,
2384048199160885102,49.0,3.0
2384832919225495850,14.0,2.0
2386544493768415174,534.0,9.0
2390099418422003153,12.0,
2390918099838972005,6.0,
2392985322140260745,77.0,4.0
2404404268122794888,22.0,
2406782264678617532,171.0,13.0
2407382514203729185,1.0,1.0
2407412823336287185,68.0,5.0
2409589460617003515,4.0,
2413566939083324794,394.0,9.0
2415706849209086313,40.0,
2419180853909974941,178.0,12.0
2422096126284797521,7.0,
