,shop_score_description,shop_score_description
0.9157251908396946,2.0,
0.9157333333333336,,2.0
0.915897435897436,2.0,
0.9161217587373168,5.0,
0.9162382445141066,11.0,
0.9163335173937049,2.0,
0.9164550898203594,10.0,
0.9165475850242926,13.0,
0.9168694658668952,18.0,
0.9169495694956952,14.0,
0.9170370370370372,3.0,
0.9170530877573132,2.0,
0.9171084337349398,3.0,
0.9171213918544879,9.0,
0.9171331058020478,12.0,
0.9171499585749794,9.0,
0.9172018541930048,8.0,
0.9172413793103448,6.0,
0.917315002021836,17.0,
0.9174090909090908,26.0,
0.9174252349757904,9.0,
0.9174971558589308,37.0,
0.9175379820802494,10.0,
0.9175505967825636,6.0,
0.9175757575757576,1.0,
0.9175834658187599,2.0,
0.9176282782212086,10.0,
0.917906712172924,,5.0
0.918,2.0,
0.9182905982905982,,4.0
0.9184905660377358,2.0,
0.9188059701492536,2.0,
0.9189576547231272,2.0,
0.9191011235955058,2.0,
0.9193162393162392,1.0,
0.9193288590604028,4.0,
0.9193893129770994,3.0,
0.9195051546391751,,1.0
0.9195305951383068,4.0,
0.9196072013093292,4.0,
0.9196781979082864,2.0,
0.9198018166804294,5.0,
0.9198426745329399,9.0,
0.92,24.0,
0.9200812182741118,2.0,
0.9201226366888092,8.0,
0.9201909307875896,,1.0
0.9203385049365304,1.0,
0.9204020100502512,12.0,
0.9205176704828272,13.0,
0.9205594405594406,1.0,
0.9205755395683456,5.0,
0.9206201550387598,3.0,
0.9206741573033708,1.0,
0.9209999999999999,1.0,
0.9210098176718092,3.0,
0.921241184767278,1.0,
0.9213114754098362,9.0,
0.92135593220339,1.0,
0.9217777777777778,2.0,
0.9222910216718264,10.0,
0.9225469888761028,2.0,
0.9225806451612903,3.0,
0.9226373626373628,1.0,
0.9227727856225932,,2.0
0.9228186167899086,,6.0
0.9228682774746688,5.0,
0.9229210836277976,5.0,
0.9229699469652328,2.0,
0.9229705945481864,9.0,
0.9229769639692852,3.0,
0.9229976580796252,3.0,
0.9230022075055186,1.0,
0.9230678466076696,1.0,
0.9231396226415094,11.0,
0.9231541218637992,2.0,
0.9232054271782912,6.0,
0.9232720806164788,4.0,
0.9233033219497052,1.0,
0.923315820198482,3.0,
0.9234106207928195,4.0,
0.92341065830721,2.0,
0.9234782608695652,2.0,
0.9235030379216428,19.0,
0.9235119047619048,,2.0
0.9235398230088496,13.0,
0.9236129032258064,2.0,
0.9236851311953354,,1.0
0.9237209302325582,2.0,
0.9239082751744768,11.0,
0.9240342530922931,16.0,
0.9241707080504364,32.0,
0.9241819941916748,34.0,
0.9242105263157894,1.0,
0.9242330616713296,47.0,
0.9243346481212372,14.0,
0.9244628686485848,,7.0
0.9245816838215888,5.0,
0.9247058823529412,2.0,
0.9248429850746268,15.0,
0.9248971829311778,24.0,
0.9249117259552042,141.0,
0.92492972972973,30.0,
0.92494474007368,20.0,
0.925,10.0,
0.925072324011572,9.0,
0.9250742673625052,12.0,
0.9252173913043478,1.0,
0.9252404512170987,24.0,
0.9253333333333332,3.0,
0.9254545454545456,,2.0
0.9254961832061068,21.0,
0.9258536585365852,22.0,
0.9259957173447536,15.0,
0.9260557768924303,12.0,
0.926153846153846,3.0,
0.9264680851063828,13.0,
0.926594982078853,15.0,
0.9266194331983806,,1.0
0.9267981790591806,1.0,
0.9268061366806136,3.0,
0.9270254957507084,2.0,
0.9270926668238624,,5.0
0.9271042471042471,3.0,3.0
0.9271106941838648,35.0,
0.9271756362119316,46.0,
0.9271910112359552,10.0,
0.9272168905950096,2.0,
0.9272727272727276,2.0,
0.9273606911447084,7.0,
0.9275,1.0,
0.9275885714285714,20.0,
0.927686437738467,27.0,
0.927707404103479,1.0,
0.9278048780487804,14.0,
0.927912087912088,12.0,
0.9279228746713408,3.0,
0.927929252325715,32.0,
0.9279455782312926,1.0,
0.928,14.0,3.0
0.9280692167577412,29.0,
0.9282870683818552,29.0,
0.9283257918552036,4.0,
0.9283710508626484,49.0,
0.9284151472650772,3.0,
0.9285307125307124,,2.0
0.928536355051936,2.0,
0.9285674547983312,1.0,
0.9286956521739128,4.0,
0.9287671232876712,1.0,
0.9288513037350246,1.0,
0.9288636363636364,,1.0
0.9288657105606256,16.0,
0.9288888888888888,2.0,
0.9289839572192512,13.0,
0.9290463439752832,26.0,
0.9290523338048092,4.0,
0.9291083676268864,1.0,
0.929110418830045,8.0,
0.9291139240506329,1.0,
0.9291603053435116,11.0,
0.9291654879773692,4.0,
0.9291892460303549,65.0,
0.9292062833021936,23.0,
0.9292165898617512,2.0,
0.9292339688041596,,3.0
0.9292374727668846,4.0,
0.9292473118279571,1.0,
0.9292681433091764,39.0,
0.9292905205173798,44.0,
0.9292906501198704,62.0,
0.9293023255813956,2.0,
0.9293039552590796,44.0,
0.9294012549186429,,6.0
0.929502538071066,15.0,
0.9295218718209564,6.0,
0.9295238095238094,1.0,
0.9295670103092784,1.0,
0.9295776614310644,5.0,
0.9296300156331424,2.0,
0.9296594427244582,4.0,
0.9296685364609892,1.0,
0.9296935933147632,6.0,
0.9298071625344352,3.0,
0.9298401667824878,7.0,
0.93,1.0,
0.9300603621730384,2.0,
0.9301030927835052,1.0,
0.9301046755059316,1.0,
0.9301085054252712,5.0,
0.9302354145342886,5.0,
0.930239099859353,,5.0
0.9302479338842976,13.0,
0.9302725968436156,1.0,
0.9303816793893128,4.0,
0.9306063720452208,10.0,
0.930625,2.0,
0.9306451612903226,4.0,
0.9307193229901268,3.0,
0.930738255033557,,1.0
0.9307512520868112,1.0,
0.9308925446272314,8.0,
0.9309090909090908,15.0,
0.9309295774647888,,1.0
0.9309422492401216,1.0,
0.9314285714285716,1.0,
0.9314519427402864,,6.0
0.931486146095718,2.0,
0.9316,2.0,
0.9317034068136274,6.0,
0.9317073170731708,6.0,
0.9317894736842104,1.0,
0.931851851851852,10.0,
0.9319402985074628,1.0,
0.9319747013352072,4.0,
0.9319856630824372,3.0,
0.9320000000000002,2.0,
0.9320670391061452,1.0,
0.932067932067932,,1.0
0.932121212121212,1.0,
0.9321726822363764,3.0,
0.9322060102425356,2.0,
0.932222960782452,1.0,
0.9322448979591836,1.0,
0.932253223013277,1.0,
0.9322700325109964,6.0,
0.9323076923076924,11.0,
0.9323141843291456,2.0,
0.932394366197183,1.0,
0.9324444444444444,4.0,
0.9324540987845876,,4.0
0.9324770642201836,4.0,
0.9324839764551996,14.0,
0.9325178548240488,5.0,
0.9325346586450431,14.0,
0.932572431957858,1.0,
0.9325907990314771,5.0,
0.9326282722513088,17.0,
0.9326315789473684,10.0,
0.9327270358306188,7.0,
0.932737430167598,3.0,
0.9327469358327324,2.0,
0.9327627273917029,11.0,
0.9327764127764128,1.0,
0.9328493079132932,10.0,
0.9328861283643892,4.0,
0.9329156626506024,,1.0
0.9329445506692159,22.0,
0.9330728241563055,1.0,
0.9330792377131394,17.0,
0.9330909090909092,3.0,
0.9331433361274101,6.0,
0.9331482834185538,,1.0
0.9333094812164581,2.0,
0.9333240418118468,2.0,
0.9333333333333332,2.0,
0.9334481196193928,1.0,
0.933540648600622,3.0,
0.9336121361213612,2.0,
0.9336130536130536,1.0,
0.9336585365853658,5.0,
0.9337373737373738,,1.0
0.9337483085250338,2.0,
0.9338152610441768,3.0,
0.9338311688311688,5.0,
0.9338442723196088,,4.0
0.933847675568744,9.0,
0.9338910012674272,1.0,
0.93389523434423,2.0,
0.9339271255060728,1.0,
0.9339449541284404,,8.0
0.9339762975071516,5.0,
0.9339903698391558,4.0,
0.9340254652301664,15.0,
0.9340322251682645,5.0,
0.9340777820562188,,2.0
0.9341063574570172,2.0,
0.9341176470588236,,1.0
0.9341496598639456,,1.0
0.934195525589948,11.0,
0.9342198100407056,2.0,
0.9342655915076044,4.0,
0.9343468514367232,3.0,
0.9343554006968642,2.0,
0.9344042509707746,13.0,
0.934494382022472,5.0,
0.9345379023883698,4.0,
0.9345454545454546,8.0,
0.9345676500508646,19.0,
0.9346290491118076,5.0,
0.9346703296703296,5.0,
0.9346735751295336,7.0,
0.934811264230078,1.0,
0.9348207171314742,17.0,
0.93482722513089,18.0,
0.9348318924111432,20.0,
0.9348527528809218,2.0,
0.934867256637168,1.0,
0.9348792927575656,11.0,
0.9349152542372884,1.0,
0.9349181494661922,2.0,
0.9349524815205914,4.0,
0.9349554896142434,8.0,
0.934961038961039,11.0,
0.9349851606885441,,5.0
0.9350140056022408,5.0,
0.9350824372759856,6.0,
0.9350972762645916,18.0,
0.9351351351351352,2.0,
0.9351526296432512,,4.0
0.9351541850220266,3.0,
0.9351855779427358,21.0,
0.9352001351123124,7.0,
0.9352153029409288,12.0,
0.9352261773907162,6.0,
0.9352380952380952,2.0,
0.9352484314057996,4.0,
0.935289249218816,8.0,
0.9352916421176668,7.0,
0.9353191489361704,2.0,
0.9353402061855668,12.0,
0.9353535353535354,3.0,
0.9353672696676484,5.0,
0.9353882915173236,1.0,
0.9354091238233164,6.0,
0.9354292084726868,6.0,
0.935441657579062,2.0,
0.9355021914933022,7.0,
0.9355531686358752,4.0,
0.9355844155844156,2.0,
0.9355946754003994,3.0,
0.9356502012987822,5.0,
0.9356820542339794,6.0,
0.9356913183279744,,8.0
0.9357205240174672,1.0,
0.935774647887324,2.0,
0.9357785467128028,1.0,
0.9358256176921856,,2.0
0.9358393113342898,,1.0
0.935854364915184,2.0,
0.935858407079646,17.0,
0.9359596418211628,2.0,
0.9359656652360516,12.0,
0.9359870263147894,3.0,
0.936,4.0,
0.9360339342523859,30.0,
0.9360659953406067,,1.0
0.9361205752799449,18.0,
0.936153846153846,1.0,
0.9362257495590828,,1.0
0.9362277580071174,2.0,
0.9362421185372004,9.0,
0.936256980269106,21.0,
0.936258778463503,26.0,
0.9362696629213484,1.0,
0.9362922374429224,13.0,
0.9363064295485636,1.0,
0.9363265306122448,28.0,
0.9363494539781592,2.0,
0.9364771033013846,15.0,
0.9365183851889948,4.0,
0.9365370629370628,34.0,
0.9366336633663366,3.0,
0.9366844919786096,3.0,
0.9367032967032968,3.0,
0.9367441860465118,7.0,
0.9368316831683168,8.0,
0.936842105263158,13.0,
0.9368571276425794,8.0,
0.9368888888888888,1.0,
0.9369105691056911,3.0,
0.9369541793353604,14.0,
0.9370281124497992,3.0,
0.937035364936042,1.0,
0.9370810810810809,4.0,
0.937142857142857,3.0,
0.9371791613723001,,1.0
0.9372151898734178,2.0,
0.9373660057147806,4.0,
0.9373751451800234,2.0,
0.9373760613530541,26.0,
0.9373780698720168,4.0,
0.937391304347826,14.0,
0.9374177390102774,2.0,
0.9374454828660436,3.0,
0.9374508816120908,3.0,
0.9374545454545457,5.0,
0.9374736842105262,5.0,
0.9374849059858548,2.0,
0.9375298804780878,2.0,
0.9375327360441076,4.0,
0.9375455265241488,7.0,
0.937551515151515,7.0,
0.9375648871069846,1.0,
0.9376210544422464,3.0,
0.9376380657906038,3.0,
0.9376851851851852,3.0,
0.9377329974811084,3.0,
0.9377490576198168,24.0,
0.9377623188405796,4.0,
0.9377648766328012,2.0,
0.9377777777777778,4.0,
0.9377870563674322,4.0,
0.937810218978102,1.0,
0.9378225165562916,18.0,
0.937833594976452,16.0,
0.9378401122019636,2.0,
0.9378823529411764,3.0,
0.937968659315148,3.0,
0.9379743888242142,1.0,
0.938,3.0,
0.9380281690140846,3.0,
0.9380371352785146,2.0,
0.9380392156862744,11.0,
0.938051282051282,2.0,
0.9380645161290324,6.0,
0.9381021897810218,1.0,
0.9381035642232683,1.0,
0.9381307934348159,1.0,
0.9381673306772907,3.0,
0.9381868898186893,1.0,
0.9382080053592364,1.0,
0.9382610141313384,1.0,
0.9382677165354332,5.0,
0.9382857142857142,2.0,
0.9383032732130928,5.0,
0.938303635067712,6.0,
0.9383106267029973,2.0,
0.9383132530120482,2.0,
0.9383186867849443,1.0,
0.9383742786479804,3.0,
0.9384130113356332,1.0,
0.9384135240572172,1.0,
0.9384167424931756,1.0,
0.9384615384615383,23.0,
0.9385176738882556,2.0,
0.9385274431057564,3.0,
0.938540027137042,,1.0
0.9385493460166467,4.0,
0.9385727190605241,1.0,
0.938575197889182,5.0,
0.9385781990521328,1.0,
0.9385824193812408,2.0,
0.9385969738651994,2.0,
0.9386301369863016,24.0,
0.9386365865620404,7.0,
0.9387234042553192,12.0,
0.9387944358578052,18.0,
0.9388252899364012,,7.0
0.9388330796549976,7.0,
0.938871473354232,13.0,
0.9389131444496052,4.0,
0.9389312977099236,15.0,
0.9389335827876522,4.0,
0.9390228013029316,5.0,
0.9390318576748036,,1.0
0.9390333176912248,2.0,
0.9390407888839084,4.0,
0.9390476190476188,2.0,
0.9390717969059896,20.0,
0.9390836088804912,6.0,
0.9391484728668844,1.0,
0.9391519434628977,3.0,
0.9391549295774648,1.0,
0.9391735537190082,3.0,
0.9391741472172352,1.0,
0.9392178770949722,2.0,
0.9392457040839096,9.0,
0.939248120300752,1.0,
0.9392931762613914,11.0,
0.939310344827586,3.0,
0.9393586005830904,,1.0
0.9393684210526316,2.0,
0.9393816335948316,9.0,
0.9393939393939394,1.0,
0.9394444444444444,2.0,
0.9394576828266228,16.0,
0.9394594594594596,,1.0
0.9394799054373524,3.0,
0.9394829931972791,1.0,
0.9395254237288136,1.0,
0.9395555555555556,8.0,
0.9395698924731182,1.0,
0.9395804195804196,2.0,
0.9395853899308984,19.0,
0.939619697708435,14.0,
0.9396226415094341,2.0,
0.9396239928379588,2.0,
0.9396709648732772,4.0,
0.9396721311475412,4.0,
0.9396825396825396,1.0,
0.9397177798682972,8.0,
0.9397849462365592,1.0,
0.9398034627983154,14.0,
0.939807073954984,30.0,
0.93984060984061,356.0,
0.9398843930635838,3.0,
0.939892745082701,291.0,
0.9399007038602474,,69.0
0.9399232444767142,8.0,
0.9399289325033396,285.0,
0.9399443800291176,283.0,
0.9399545661063152,,3.0
0.9399791174948012,234.0,
0.939984938440253,242.0,
0.9399903774657744,282.0,
0.94,34.0,
0.9400198873052704,1.0,
0.9400368324125229,3.0,
0.94003738317757,,1.0
0.9400599880023994,15.0,
0.9400607662865486,18.0,
0.940070671378092,3.0,
0.9400786534528868,16.0,
0.9401626016260164,3.0,
0.9402061855670104,2.0,
0.940217391304348,1.0,
0.9402197802197804,2.0,
0.9402409638554216,1.0,
0.9402551521099118,16.0,
0.9402724795640328,1.0,
0.9402776381423764,17.0,
0.940279269602578,,2.0
0.9403015075376886,22.0,
0.9403025210084036,2.0,
0.940317362501926,14.0,
0.9403220035778176,7.0,
0.9403389830508476,2.0,
0.9403570695670018,9.0,
0.9403586651818288,,3.0
0.9403921568627452,,1.0
0.9404007285974499,4.0,
0.9404081632653064,2.0,
0.9404255319148936,3.0,
0.9404261913986828,22.0,
0.9404379562043796,5.0,
0.9404545454545454,2.0,
0.9404651162790698,2.0,
0.9404839526171916,8.0,
0.9404851752021564,11.0,
0.9404885419289852,28.0,
0.9405009633911368,5.0,
0.9405303030303028,7.0,
0.9405388046387152,3.0,
0.9405557461406516,2.0,
0.9405580029368577,8.0,
0.9405714285714286,1.0,
0.9406126126126126,1.0,
0.9406271777003484,4.0,
0.9406451612903226,5.0,
0.9406711409395974,2.0,
0.9406728704366498,6.0,
0.940681007990166,24.0,
0.9406825084866892,7.0,
0.9407202762703504,16.0,
0.9407431340872376,1.0,
0.9407501163331784,3.0,
0.9407545145717862,11.0,
0.9407579135086936,1.0,
0.9407733238737142,4.0,
0.9407977991746904,21.0,
0.9408213851761849,33.0,
0.9408219178082192,2.0,
0.9408429118773948,1.0,
0.9408431972336748,,10.0
0.9408512363194164,18.0,
0.940855600166136,4.0,
0.940866738894908,4.0,
0.940873299928418,3.0,
0.9408785529715762,2.0,
0.9408917197452228,1.0,
0.9408924495367676,6.0,
0.940896174863388,1.0,
0.9409080841638982,1.0,
0.940909589041096,1.0,
0.9409103840682788,5.0,
0.9409168253968254,15.0,
0.9409411764705882,,6.0
0.9409540954095408,4.0,
0.9410017761989342,1.0,
0.9410079575596816,4.0,
0.941050463439753,21.0,
0.9410526315789474,13.0,
0.9410624756461878,17.0,
0.9410676156583629,6.0,
0.9410830324909748,1.0,
0.9410878661087868,3.0,
0.9411221122112212,1.0,
0.9411356466876972,14.0,
0.9411418481459684,2.0,
0.9411494252873562,2.0,
0.9411683848797252,83.0,
0.9411764705882352,7.0,
0.9411779935275082,5.0,
0.9411825192802056,7.0,
0.9411872146118724,1.0,
0.9411965811965812,4.0,
0.941222691389756,42.0,
0.9412332439678286,6.0,
0.9412423389100546,2.0,
0.94125,1.0,
0.9413014608233732,,1.0
0.9413026819923372,17.0,
0.9413316342784326,2.0,
0.9413333333333334,2.0,1.0
0.9413692297232988,6.0,
0.941379980563654,17.0,
0.9414065861327156,2.0,
0.941418439716312,,1.0
0.9414185303514376,4.0,
0.9414207650273224,3.0,
0.9414214876033058,1.0,
0.9414415305954148,1.0,
0.9414634146341464,,1.0
0.9414801384539312,1.0,
0.9414825174825175,,5.0
0.9414902807775378,4.0,
0.9415053763440862,2.0,
0.9415384615384615,1.0,
0.9415548297845032,148.0,
0.9416113744075828,1.0,
0.9416191562143672,5.0,
0.9416213444252929,139.0,
0.9416470588235296,2.0,
0.941654135338346,1.0,8.0
0.941666595481143,137.0,
0.9416666666666668,5.0,
0.9417046193884192,7.0,
0.9417070063694266,1.0,
0.9417119379137184,2.0,
0.9417169373549884,73.0,
0.9417534942820841,12.0,
0.9417539432176656,5.0,
0.941775147928994,1.0,
0.9417961348995832,82.0,
0.9417982656321316,3.0,
0.9418029545190184,1.0,
0.941818181818182,7.0,
0.9418296700559988,139.0,
0.9418454613653412,,28.0
0.941851851851852,1.0,
0.941885368551168,8.0,
0.941885988279169,7.0,
0.9419096509240246,4.0,
0.9419371355425971,107.0,
0.9419469026548672,7.0,
0.9420006602839222,11.0,
0.9420198064754122,86.0,
0.9420428867881026,1.0,
0.9420621608288112,20.0,
0.9420942682366252,73.0,
0.9421033868092692,4.0,
0.9421171634121276,4.0,
0.9421822732961658,3.0,
0.94218487394958,2.0,
0.9421989528795812,10.0,
0.9422054646811332,,26.0
0.9422084623323012,24.0,
0.9422222222222224,3.0,
0.9422390630382362,4.0,
0.9422609482856172,7.0,
0.9422788605697152,,14.0
0.942281912890674,8.0,
0.9422950819672132,3.0,
0.9422959826027242,5.0,
0.9423169601482856,2.0,
0.9423255813953488,31.0,
0.942330229389053,5.0,
0.9423306233062332,,2.0
0.9423466349017272,17.0,
0.942367758186398,1.0,
0.9423732856290996,12.0,
0.9423747889701743,59.0,
0.9423874755381604,29.0,
0.9423939821344616,57.0,
0.9423979091800064,1.0,
0.9424,,1.0
0.9424018610061063,5.0,
0.9424050137093616,103.0,
0.9424105668684646,22.0,
0.942433628318584,29.0,
0.942438534872052,,23.0
0.9424552745219,1.0,
0.9424719101123596,2.0,
0.9424997623800021,34.0,
0.9425,2.0,
0.9425385124279368,46.0,
0.9425398700531601,29.0,
0.9425607425607424,2.0,
0.9425641025641028,1.0,
0.9425702962823176,60.0,
0.9425988700564972,65.0,
0.9426059654631084,100.0,
0.9426065495965829,37.0,
0.9426563598032328,4.0,
0.942680412371134,,2.0
0.9426865671641792,6.0,
0.9427190332326284,18.0,
0.9427405247813412,2.0,
0.9427433843165818,1.0,
0.9427605633802818,1.0,
0.9427621685793433,76.0,
0.9427638737758433,2.0,
0.9428,1.0,
0.9428039867109634,28.0,
0.9428084277189136,4.0,
0.9428101116990006,19.0,
0.942811755361398,91.0,
0.9428153921091088,4.0,
0.942841604350782,11.0,
0.9428504944735312,18.0,
0.9428571428571428,30.0,
0.9428828828828828,,14.0
0.9428956228956228,2.0,
0.9429065370070232,4.0,
0.9429885057471266,6.0,
0.9429915966386556,14.0,
0.9429965335729876,116.0,
0.9430024449877751,,1.0
0.9430085369443628,1.0,
0.9430264978902954,3.0,
0.9430415647921762,,1.0
0.943043216080402,1.0,
0.9430508474576272,5.0,
0.9430769230769231,2.0,
0.9430971128608924,9.0,
0.94310546875,3.0,
0.9431066580915954,2.0,
0.9431111111111112,4.0,
0.9431372549019608,8.0,
0.9431396125584504,14.0,
0.9431738491120916,2.0,
0.9432047477744808,6.0,
0.9432258064516129,2.0,2.0
0.9432512315270938,1.0,
0.9432653061224491,3.0,
0.9432679738562092,8.0,
0.943275039745628,1.0,
0.9433047370384184,6.0,
0.9433253012048192,8.0,
0.9433273703041144,26.0,
0.9433808708880016,,1.0
0.943387400980762,7.0,
0.9433898305084748,4.0,
0.9433935018050544,5.0,
0.9434035656401945,2.0,
0.9434343434343436,2.0,1.0
0.9434382566585956,5.0,
0.9434433339619084,14.0,
0.9434652527930316,4.0,
0.9435171773444752,20.0,
0.943529411764706,40.0,3.0
0.9435408306112928,20.0,
0.9435815569537044,13.0,
0.9435932203389832,9.0,
0.9435971223021584,2.0,
0.9436228287841192,3.0,
0.9436229560756652,6.0,
0.9436238774432116,17.0,
0.9436590436590436,19.0,
0.9436706425548288,,1.0
0.9436871508379888,1.0,
0.9436951192333408,1.0,
0.9436962025316455,6.0,
0.9436986481165508,126.0,
0.9436990479711618,11.0,
0.9437092866756394,17.0,
0.9437263910158245,10.0,
0.943732057416268,20.0,
0.9437362637362638,7.0,
0.9437412095639944,1.0,
0.9437567629353044,43.0,
0.9437892095357592,3.0,
0.9437943696450428,5.0,
0.9438039245628768,,13.0
0.9438100295880434,95.0,
0.9438121378469048,50.0,
0.94381679389313,1.0,
0.9438176209465052,57.0,
0.9438297872340424,1.0,
0.9438359469240049,,2.0
0.9438400121663753,64.0,
0.9438539553752536,,1.0
0.9438596491228072,2.0,
0.9438747257735078,78.0,
0.9438862559241704,2.0,
0.9439132679401137,6.0,
0.9439166878333756,22.0,
0.9439175257731959,9.0,
0.9439361409303606,27.0,
0.943941605839416,1.0,
0.9439798488664988,9.0,
0.9439857227840572,1.0,
0.9439857651245552,1.0,
0.94399243140965,,3.0
0.9439940164547492,37.0,
0.9440000000000002,3.0,
0.9440133407448584,17.0,
0.944015984015984,30.0,
0.944033264033264,10.0,
0.944041450777202,1.0,
0.9440479041916168,5.0,
0.9440643863179076,15.0,
0.9440816326530612,7.0,
0.9440978593272172,4.0,
0.944102704179186,16.0,
0.944104104104104,11.0,
0.944133400707428,12.0,
0.9441769041769044,2.0,
0.9441977514704788,120.0,
0.9442160866144682,139.0,
0.9442162162162162,7.0,
0.9442201834862384,2.0,
0.9442207482868556,104.0,
0.9442240030168756,217.0,
0.9442259087836079,3.0,
0.9442424242424244,33.0,
0.9442430068960416,120.0,
0.9442533936651584,15.0,
0.9442696629213484,8.0,
0.9442769300842632,187.0,
0.9442880073377666,164.0,
0.9443161094224924,2.0,
0.944325273537755,167.0,
0.9443300167041906,,33.0
0.9443478260869568,3.0,2.0
0.944413145539906,1.0,
0.9444376899696049,2.0,
0.9444395046046364,2.0,
0.9444444444444444,11.0,
0.9444819277108434,,1.0
0.9444897959183672,5.0,
0.9445183265457241,5.0,
0.9445323047251688,33.0,
0.9445371440580016,5.0,
0.9445700245700246,,1.0
0.9445822102425876,2.0,
0.9445845845845846,1.0,
0.9446009389671362,4.0,
0.9446053412462908,2.0,
0.944624564893088,1.0,
0.9446616541353384,3.0,
0.9446784104875052,1.0,
0.9446808510638298,1.0,
0.9447128712871288,1.0,
0.944744939271255,3.0,
0.9447482014388492,1.0,
0.9447562069997008,4.0,
0.9447598410978691,8.0,
0.9448078641644326,2.0,
0.9448275862068964,4.0,
0.9448454882571076,2.0,
0.944855012427506,1.0,
0.944858821031774,5.0,
0.9448715032977032,3.0,
0.9448940874402684,,1.0
0.9449119555143652,3.0,
0.9449176270399876,3.0,
0.944935497295048,188.0,
0.9449658314350796,,1.0
0.9449845009299442,4.0,
0.9449925261584456,3.0,
0.9449972949996136,8.0,
0.945,2.0,3.0
0.9450205260757184,3.0,
0.9450241095038109,3.0,
0.945025641025641,40.0,
0.9450270045700042,2.0,
0.9450467289719626,1.0,
0.9450507536142728,2.0,
0.9450654349499616,1.0,
0.9450881690359668,7.0,
0.9451051051051051,23.0,
0.9451072124756336,40.0,
0.9451222170325392,1.0,
0.9451428571428572,26.0,
0.9451718254935412,32.0,
0.9451770127784374,14.0,
0.9451851851851852,1.0,
0.9451889168765744,11.0,
0.9452054794520548,1.0,
0.9452145214521452,2.0,
0.9452252252252252,,5.0
0.945228034614485,,3.0
0.9452475705691809,2.0,
0.9452861375331358,6.0,
0.9453035143769968,1.0,
0.9453333333333334,1.0,
0.9453409956380252,6.0,
0.9453432588916462,2.0,
0.9453465346534652,1.0,
0.9453587647593098,18.0,
0.9453613053613056,1.0,
0.9453724053724052,50.0,
0.9453798033958892,4.0,
0.9454136408942048,194.0,
0.9454275827978252,23.0,
